"Environment and Climate Change Canada"
"Monthly Values for April - 1917"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BEAR CREEK","48.500","-124.000","BC","",,NA,"",,"",,"32.9","0",NA,"277.0","0",NA,"","20","","",NA,"","","1010720"
"BEAVER LAKE","48.500","-123.350","BC","",,NA,"",,"",,"0.0","0",NA,"88.9","0",NA,"","16","","",NA,"","","1010774"
"COWICHAN","48.417","-123.700","BC","7.6","0",NA,"18.3","0","-1.1","0","0.0","0",NA,"145.8","0",NA,"","21","","",NA,"310.6","0.0","1012008"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","7.2","0",NA,"18.9","0","-1.1","0","0.0","0",NA,"119.2","0",NA,"","13","","",NA,"324.4","0.0","1012010"
"GOLDSTREAM LAKE","48.450","-123.550","BC","",,NA,"",,"",,"0.0","0",NA,"174.1","0",NA,"","18","","",NA,"","","1013240"
"JAMES ISLAND","48.600","-123.350","BC","8.5","0",NA,"18.3","0","2.2","0","0.0","0",NA,"14.4","0",NA,"","9","","",NA,"285.1","0.0","1013720"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0",NA,"77.8","0","130.0","","7","","",NA,"","","1015105"
"MILNES LANDING","48.350","-123.733","BC","7.4","0",NA,"18.9","0","-1.1","0","0.0","0",NA,"55.6","0",NA,"","13","","",NA,"318.6","0.0","1015160"
"RIVER JORDAN","48.417","-124.050","BC","",,NA,"",,"",,"0.0","0",NA,"186.9","0",NA,"","19","","",NA,"","","1016780"
"SAANICHTON CDA","48.698","-123.594","BC","7.5","0","-1.7","17.8","0","0.6","0","0.0","0",NA,"103.9","0","202.0","","16","","",NA,"313.9","0.0","1016940"
"SALTSPRING ISLAND","48.850","-123.500","BC","7.3","0",NA,"18.3","0","0.0","0","0.0","0",NA,"157.8","0",NA,"","18","","",NA,"321.8","0.0","1016990"
"SAANICH DOM ASTRO OBS","48.517","-123.417","BC","6.1","0",NA,"18.3","0","-3.3","0","0.0","0",NA,"92.0","0",NA,"","15","","",NA,"355.6","0.0","10169DK"
"SHAWNIGAN LAKE","48.647","-123.627","BC","6.2","0","-2.5","20.0","0","-2.2","0","0.0","0","0.0","121.1","0","171.0","","16","","",NA,"353.5","0.0","1017230"
