"Environment and Climate Change Canada"
"Monthly Values for May - 1923"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BEAR CREEK","48.500","-124.000","BC","",,NA,"",,"",,"0.0","0",NA,"59.5","0",NA,"","12","","",NA,"","","1010720"
"BEAVER LAKE","48.500","-123.350","BC","",,NA,"",,"",,"0.0","0",NA,"21.3","0",NA,"","7","","",NA,"","","1010774"
"CHEMAINUS","48.935","-123.742","BC","",,NA,"",,"",,"0.0","0",NA,"21.4","0",NA,"","7","","",NA,"","","1011500"
"COWICHAN","48.417","-123.700","BC","11.6","0",NA,"22.2","0","0.6","0","0.0","0",NA,"17.8","0",NA,"","6","","",NA,"197.3","0.0","1012008"
"CROFTON","48.817","-123.667","BC","",,NA,"",,"",,"0.0","0",NA,"23.2","0",NA,"","9","","",NA,"","","1012190"
"ESQUIMALT","48.433","-123.417","BC","",,NA,"",,"",,"0.0","0",NA,"15.8","0",NA,"","6","","",NA,"","","1012700"
"GOLDSTREAM LAKE","48.450","-123.550","BC","",,NA,"",,"",,"0.0","0",NA,"43.8","0",NA,"","9","","",NA,"","","1013240"
"JAMES ISLAND","48.600","-123.350","BC","12.0","0",NA,"22.8","0","4.4","0","0.0","0",NA,"21.6","0",NA,"","5","","",NA,"187.3","0.0","1013720"
"MALAHAT","48.575","-123.530","BC","",,NA,"",,"",,"0.0","0",NA,"21.7","0",NA,"","9","","",NA,"","","1014820"
"MAYNE ISLAND","48.850","-123.333","BC","",,NA,"",,"",,"0.0","0",NA,"32.9","0",NA,"","8","","",NA,"","","1014930"
"METCHOSIN","48.374","-123.561","BC","11.2","0",NA,"20.6","0","1.7","0","0.0","0",NA,"27.6","0","69.0","","7","","",NA,"211.0","0.0","1015105"
"MILNES LANDING","48.350","-123.733","BC","11.4","0",NA,"21.1","0","2.2","0","0.0","0",NA,"35.4","0",NA,"","11","","",NA,"206.1","0.0","1015160"
"RIVER JORDAN","48.417","-124.050","BC","",,NA,"",,"",,"0.0","0",NA,"57.0","0",NA,"","9","","",NA,"","","1016780"
"SAANICHTON CDA","48.698","-123.594","BC","11.6","0","-0.6","22.2","0","2.2","0","0.0","0",NA,"32.8","0","79.0","","6","","",NA,"197.3","0.0","1016940"
"SALTSPRING ISLAND","48.850","-123.500","BC","11.1","0",NA,"23.9","0","0.6","0","0.0","0",NA,"23.7","0",NA,"","6","","",NA,"214.6","0.0","1016990"
"SAANICH DOM ASTRO OBS","48.517","-123.417","BC","12.1","0",NA,"23.3","0","3.9","0","0.0","0",NA,"14.5","0",NA,"","5","","",NA,"184.3","0.6","10169DK"
"SHAWNIGAN LAKE","48.647","-123.627","BC","11.1","0","-1.0","23.9","0","0.6","0","0.0","0",NA,"26.3","0","52.0","","10","","",NA,"212.4","0.0","1017230"
"SOOKE LAKE","48.517","-123.700","BC","",,NA,"",,"",,"0.0","0",NA,"29.2","0",NA,"","9","","",NA,"","","1017560"
"VICTORIA GONZALES HTS","48.417","-123.317","BC","11.4","0",NA,"19.4","0","4.4","0","0.0","0",NA,"26.2","0",NA,"","7","","",NA,"205.3","0.0","1018610"
"CAMPBELL LAKE","50.017","-125.400","BC","",,NA,"",,"",,"0.0","0",NA,"41.5","0",NA,"","8","","",NA,"","","1021250"
"COURTENAY PUNTLEDGE BCHP","49.683","-125.033","BC","",,NA,"",,"",,"0.0","0",NA,"52.2","0",NA,"","8","","",NA,"","","1021990"
"CUMBERLAND","49.617","-125.033","BC","12.1","0",NA,"27.8","0","0.6","0","0.0","0",NA,"57.8","0",NA,"","9","","",NA,"182.3","0.9","1022250"
"DENMAN ISLAND","49.517","-124.783","BC","",,NA,"",,"",,"0.0","0",NA,"36.2","0",NA,"","4","","",NA,"","","1022430"
"HORNBY ISLAND","49.533","-124.600","BC","",,NA,"",,"",,"0.0","0",NA,"37.0","0",NA,"","11","","",NA,"","","1023590"
"LADYSMITH","48.950","-123.650","BC","12.0","0",NA,"25.0","0","0.6","0","0.0","0",NA,"28.6","0",NA,"","9","","",NA,"186.0","0.0","1024485"
"LAZO","49.733","-124.900","BC","12.1","17",NA,"23.9","17","3.3","17","0.0","0",NA,"25.2","0",NA,"","6","","",NA,"82.1","0.0","1024592"
"NANAIMO","49.183","-123.967","BC","12.7","0",NA,"23.9","0","3.3","0","0.0","0",NA,"23.9","0",NA,"","11","","",NA,"163.8","0.0","1025340"
"NANOOSE BAY","49.283","-124.183","BC","11.5","0",NA,"22.2","0","1.1","0","0.0","0",NA,"36.5","0",NA,"","11","","",NA,"201.3","0.0","1025375"
"PARKSVILLE","49.300","-124.300","BC","",,NA,"",,"",,"0.0","0",NA,"38.4","0",NA,"","11","","",NA,"","","1025970"
"NANAIMO DEPARTURE BAY","49.217","-123.950","BC","12.3","0",NA,"26.7","0","2.2","0","0.0","0",NA,"34.7","0",NA,"","10","","",NA,"177.4","1.0","1025C70"
