"Environment and Climate Change Canada"
"Monthly Values for August - 1938"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BEAR CREEK","48.500","-124.000","BC","",,NA,"",,"",,"0.0","0",NA,"17.0","0",NA,"","3","","",NA,"","","1010720"
"BEAVER LAKE","48.500","-123.350","BC","",,NA,"",,"",,"0.0","0",NA,"8.4","0",NA,"","1","","",NA,"","","1010774"
"CHEMAINUS","48.935","-123.742","BC","",,NA,"",,"",,"0.0","0",NA,"27.2","0",NA,"","2","","",NA,"","","1011500"
"COLE BAY","48.650","-123.400","BC","",,NA,"",,"",,"0.0","0",NA,"20.4","0",NA,"","4","","",NA,"","","1011775"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","17.6","0",NA,"26.7","0","9.4","0","0.0","0",NA,"12.8","0",NA,"","3","","",NA,"23.8","10.7","1012010"
"COWICHAN LAKE HATCHERY","48.833","-124.117","BC","",,NA,"",,"",,"0.0","0",NA,"9.5","0",NA,"","3","","",NA,"","","1012046"
"CROFTON","48.817","-123.667","BC","",,NA,"",,"",,"0.0","0",NA,"13.8","0",NA,"","2","","",NA,"","","1012190"
"DUNCAN","48.783","-123.717","BC","17.6","0",NA,"32.8","0","4.4","0","0.0","0",NA,"13.2","0",NA,"","2","","",NA,"24.3","10.7","1012550"
"ESQUIMALT","48.433","-123.417","BC","",,NA,"",,"",,"0.0","0",NA,"5.8","0",NA,"","1","","",NA,"","","1012700"
"GOLDSTREAM LAKE","48.450","-123.550","BC","",,NA,"",,"",,"0.0","0",NA,"8.2","0",NA,"","1","","",NA,"","","1013240"
"JAMES ISLAND","48.600","-123.350","BC","15.5","0",NA,"26.7","0","7.8","0","0.0","0",NA,"21.2","0",NA,"","3","","",NA,"79.9","1.0","1013720"
"LAKE COWICHAN","48.817","-124.050","BC","16.8","0",NA,"31.7","0","4.4","0","0.0","0",NA,"6.4","0",NA,"","2","","",NA,"40.1","4.2","1014493"
"MAYNE ISLAND","48.850","-123.333","BC","",,NA,"",,"",,"0.0","0",NA,"8.4","0",NA,"","1","","",NA,"","","1014930"
"METCHOSIN","48.374","-123.561","BC","15.0","0",NA,"23.3","0","8.9","0","0.0","0",NA,"10.0","0","40.0","","3","","",NA,"92.0","0.0","1015105"
"MILLSTREAM","48.483","-123.550","BC","",,NA,"",,"",,"0.0","0",NA,"7.1","0",NA,"","2","","",NA,"","","1015150"
"MILNES LANDING","48.350","-123.733","BC","14.1","0",NA,"23.3","0","4.4","0","0.0","0",NA,"7.4","0",NA,"","1","","",NA,"120.1","0.0","1015160"
"PENDER ISLAND","48.767","-123.300","BC","",,NA,"",,"",,"0.0","0",NA,"8.2","0",NA,"","2","","",NA,"","","1016120"
"RIVER JORDAN","48.417","-124.050","BC","",,NA,"",,"",,"0.0","0",NA,"13.2","0",NA,"","3","","",NA,"","","1016780"
"SAANICHTON CDA","48.698","-123.594","BC","15.7","0","-1.4","26.7","0","7.8","0","0.0","0",NA,"28.0","0","106.0","","2","","",NA,"71.9","1.5","1016940"
"SALTSPRING ISLAND","48.850","-123.500","BC","15.7","0",NA,"28.9","0","6.1","0","0.0","0",NA,"7.9","0",NA,"","1","","",NA,"72.3","0.4","1016990"
"SAANICH DOM ASTRO OBS","48.517","-123.417","BC","16.6","1",NA,"26.7","1","10.0","1","0.0","1",NA,"2.5","1",NA,"","1","","",NA,"47.6","6.0","10169DK"
"SHAWNIGAN LAKE","48.647","-123.627","BC","15.5","0","-2.4","29.4","0","4.4","0","0.0","0",NA,"13.4","0","48.0","","3","","",NA,"79.4","0.7","1017230"
"SOOKE LAKE","48.517","-123.700","BC","",,NA,"",,"",,"0.0","0",NA,"4.3","0",NA,"","1","","",NA,"","","1017560"
"VICTORIA GONZALES HTS","48.417","-123.317","BC","15.0","0",NA,"25.6","0","8.9","0","0.0","0",NA,"14.0","0",NA,"","4","","",NA,"92.2","0.1","1018610"
"ALERT BAY","50.583","-126.933","BC","",,NA,"",,"",,"0.0","0",NA,"39.1","0",NA,"","3","","",NA,"","","1020270"
"CAMERON LAKE","49.283","-124.583","BC","",,NA,"",,"",,"0.0","0",NA,"12.5","0",NA,"","2","","",NA,"","","1021230"
"CAMPBELL RIVER","50.017","-125.300","BC","",,NA,"",,"",,"0.0","0",NA,"22.8","0",NA,"","3","","",NA,"","","1021260"
"CAPE LAZO","49.700","-124.867","BC","16.0","0",NA,"26.1","0","6.7","0","0.0","0",NA,"12.4","0",NA,"","5","","",NA,"61.8","0.0","1021320"
"COURTENAY PUNTLEDGE BCHP","49.683","-125.033","BC","",,NA,"",,"",,"0.0","0",NA,"15.2","0",NA,"","4","","",NA,"","","1021990"
"CUMBERLAND","49.617","-125.033","BC","16.4","0",NA,"31.1","0","4.4","0","0.0","0",NA,"16.0","0",NA,"","5","","",NA,"56.1","6.1","1022250"
"DENMAN ISLAND","49.517","-124.783","BC","",,NA,"",,"",,"0.0","0",NA,"16.0","0",NA,"","3","","",NA,"","","1022430"
"NANAIMO","49.183","-123.967","BC","16.2","0",NA,"28.3","0","6.7","0","0.0","0",NA,"14.5","0",NA,"","3","","",NA,"55.4","0.5","1025340"
"NANOOSE BAY","49.283","-124.183","BC","16.4","0",NA,"28.3","0","6.7","0","0.0","0",NA,"18.6","0",NA,"","5","","",NA,"52.8","3.5","1025375"
"PARKSVILLE","49.300","-124.300","BC","",,NA,"",,"",,"0.0","0",NA,"13.3","0",NA,"","3","","",NA,"","","1025970"
"NANAIMO DEPARTURE BAY","49.217","-123.950","BC","17.2","0",NA,"30.0","0","8.9","0","0.0","0",NA,"18.0","0",NA,"","3","","",NA,"32.3","6.9","1025C70"
"PORT HARDY","50.667","-127.483","BC","",,NA,"",,"",,"0.0","0",NA,"29.4","0",NA,"","4","","",NA,"","","1026266"
"SANDWICK","49.750","-125.050","BC","",,NA,"",,"",,"0.0","0",NA,"14.7","0",NA,"","5","","",NA,"","","1027060"
