"Environment and Climate Change Canada"
"Monthly Values for March - 1955"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BEAR CREEK","48.500","-124.000","BC","",,NA,"",,"",,"141.5","0",NA,"439.1","0",NA,"","19","","",NA,"","","1010720"
"CHEMAINUS","48.935","-123.742","BC","",,NA,"",,"",,"8.9","0",NA,"97.1","0",NA,"","12","","",NA,"","","1011500"
"CORDOVA BAY","48.533","-123.367","BC","3.5","0",NA,"12.2","0","-7.8","0","11.6","0",NA,"76.6","0",NA,"","16","","",NA,"449.3","0.0","1011920"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","3.1","0",NA,"12.8","0","-9.4","0","9.9","0",NA,"82.4","0",NA,"","13","119.9","0",NA,"460.9","0.0","1012010"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","1.8","0","-4.1","12.8","0","-14.4","0","58.5","0","553.0","198.0","0","88.0","","17","101.5","0","96.0","503.7","0.0","1012040"
"DUNCAN","48.783","-123.717","BC","5.0","0",NA,"16.7","0","-9.4","0","7.5","0",NA,"67.7","0",NA,"","10","","",NA,"402.1","0.0","1012550"
"JAMES ISLAND","48.600","-123.350","BC","3.7","0",NA,"11.7","0","-7.8","0","7.7","0",NA,"55.7","0",NA,"","14","","",NA,"444.4","0.0","1013720"
"LANGFORD LAKE","48.433","-123.533","BC","",,NA,"",,"",,"14.4","0",NA,"135.9","0",NA,"","17","","",NA,"","","1014530"
"MILNES LANDING","48.350","-123.733","BC","3.4","0",NA,"13.3","0","-9.4","0","14.5","0",NA,"180.6","0",NA,"","20","","",NA,"451.7","0.0","1015160"
"PENDER ISLAND","48.767","-123.300","BC","",,NA,"",,"",,"0.0","0",NA,"67.5","0",NA,"","8","","",NA,"","","1016120"
