"Environment and Climate Change Canada"
"Monthly Values for September - 1955"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BEAR CREEK","48.500","-124.000","BC","",,NA,"",,"",,"0.0","0",NA,"71.9","0",NA,"","10","","",NA,"","","1010720"
"CHEMAINUS","48.935","-123.742","BC","",,NA,"",,"",,"0.0","0",NA,"27.8","0",NA,"","6","","",NA,"","","1011500"
"CORDOVA BAY","48.533","-123.367","BC","13.5","0",NA,"26.7","0","4.4","0","0.0","0",NA,"7.8","0",NA,"","3","","",NA,"137.8","2.5","1011920"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","14.5","0",NA,"31.7","0","4.4","0","0.0","0",NA,"23.4","0",NA,"","5","184.6","0",NA,"117.6","11.3","1012010"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","13.6","0","-1.6","33.3","0","1.7","0","0.0","0",NA,"38.2","0","69.0","","6","163.1","0","89.0","138.9","6.8","1012040"
"DUNCAN","48.783","-123.717","BC","15.6","0",NA,"37.8","0","2.2","0","0.0","0",NA,"20.9","0",NA,"","4","","",NA,"92.3","21.7","1012550"
"JAMES ISLAND","48.600","-123.350","BC","14.1","0",NA,"27.2","0","5.6","0","0.0","0",NA,"13.1","0",NA,"","4","","",NA,"123.1","6.3","1013720"
"LANGFORD LAKE","48.433","-123.533","BC","",,NA,"",,"",,"0.0","0",NA,"8.7","0",NA,"","2","","",NA,"","","1014530"
"MILNES LANDING","48.350","-123.733","BC","13.0","0",NA,"29.4","0","1.1","0","0.0","0",NA,"13.6","0",NA,"","3","","",NA,"151.8","1.2","1015160"
"PENDER ISLAND","48.767","-123.300","BC","",,NA,"",,"",,"0.0","0",NA,"21.2","0",NA,"","3","","",NA,"","","1016120"
"RIVER JORDAN","48.417","-124.050","BC","13.4","0",NA,"25.0","0","3.3","0","0.0","0",NA,"34.5","0",NA,"","6","","",NA,"140.4","1.3","1016780"
"SAANICHTON CDA","48.698","-123.594","BC","13.3","0","-1.2","28.3","0","4.4","0","0.0","0",NA,"14.9","0","50.0","","4","184.6","0","89.0","144.7","4.1","1016940"
"SALTSPRING ISLAND","48.850","-123.500","BC","13.3","0",NA,"30.6","0","3.3","0","0.0","0",NA,"28.2","0",NA,"","6","","",NA,"147.6","6.3","1016990"
"SAANICH DOM ASTRO OBS","48.517","-123.417","BC","13.5","0",NA,"26.1","0","3.9","0","0.0","0",NA,"16.7","0",NA,"","7","","",NA,"143.4","8.1","10169DK"
"SHAWNIGAN LAKE","48.647","-123.627","BC","14.1","0","-0.8","33.3","0","1.7","0","0.0","0",NA,"15.5","0","47.0","","4","","",NA,"125.7","9.0","1017230"
"SOOKE LAKE","48.517","-123.700","BC","",,NA,"",,"",,"0.0","0",NA,"17.5","0",NA,"","4","","",NA,"","","1017560"
"VICTORIA GONZALES HTS","48.417","-123.317","BC","13.9","0",NA,"26.7","0","6.7","0","0.0","0",NA,"14.0","0",NA,"0.0","3","196.1","0",NA,"126.5","4.7","1018610"
"VICTORIA INT'L A","48.647","-123.426","BC","13.6","0","-0.5","31.1","0","3.3","0","0.0","0",NA,"17.4","0","56.0","0.0","3","","",NA,"137.5","5.6","1018620"
"VICTORIA LANSDOWNE","48.433","-123.317","BC","13.3","0",NA,"27.2","0","2.8","0","0.0","0",NA,"16.1","0",NA,"","5","","",NA,"140.8","0.7","1018640"
"ALERT BAY","50.583","-126.933","BC","12.2","0",NA,"21.1","0","4.4","0","0.0","0",NA,"85.3","0",NA,"0.0","11","","",NA,"174.9","0.1","1020270"
"CAMPBELL RIVER","50.017","-125.300","BC","",,NA,"",,"",,"0.0","0",NA,"56.8","0",NA,"","7","","",NA,"","","1021260"
"CAPE LAZO","49.700","-124.867","BC","13.1","0",NA,"26.1","0","4.4","0","0.0","0",NA,"38.3","0",NA,"0.0","4","","",NA,"147.4","1.3","1021320"
"COMOX A","49.717","-124.900","BC","13.5","0","-1.0","30.0","0","2.2","0","0.0","0",NA,"45.7","0","109.0","0.0","6","","",NA,"137.7","1.7","1021830"
"CORTES ISLAND","50.083","-125.033","BC","15.2","12",NA,"27.2","12","2.2","11","0.0","11",NA,"20.1","11",NA,"","4","","",NA,"56.9","6.9","1021950"
"COURTENAY PUNTLEDGE BCHP","49.683","-125.033","BC","",,NA,"",,"",,"0.0","0",NA,"60.2","0",NA,"","6","","",NA,"","","1021990"
"CUMBERLAND","49.617","-125.033","BC","14.0","0",NA,"33.3","0","0.6","0","0.0","0",NA,"55.4","0",NA,"","6","","",NA,"135.3","14.6","1022250"
"KELSEY BAY","50.383","-125.950","BC","",,NA,"",,"",,"0.0","0",NA,"90.3","0",NA,"","7","","",NA,"","","1024005"
"NANAIMO","49.183","-123.967","BC","14.0","0",NA,"30.0","0","1.7","0","0.0","0",NA,"38.7","0",NA,"","7","","",NA,"133.0","13.7","1025340"
"NANAIMO A","49.052","-123.870","BC","13.6","0","-1.3","31.7","0","1.1","0","0.0","0",NA,"23.9","0","67.0","0.0","4","156.8","0","73.0","141.8","9.9","1025370"
"PARKSVILLE","49.300","-124.300","BC","12.9","0",NA,"29.4","0","0.6","0","0.0","0",NA,"32.9","0",NA,"","8","","",NA,"155.9","3.1","1025970"
"NANAIMO DEPARTURE BAY","49.217","-123.950","BC","15.3","0",NA,"30.0","0","5.0","0","0.0","0",NA,"35.0","0",NA,"","7","","",NA,"98.8","17.1","1025C70"
"PORT HARDY A","50.680","-127.366","BC","11.2","0","-1.0","21.1","0","2.2","0","0.0","0",NA,"105.6","0","96.0","0.0","10","","",NA,"204.5","0.0","1026270"
"ALBERNI BEAVER CREEK","49.367","-124.933","BC","13.5","0",NA,"33.3","0","-1.1","0","0.0","0",NA,"58.8","0",NA,"","5","","",NA,"140.0","5.0","1030180"
"ALBERNI LUPSI CUPSI","49.250","-124.817","BC","14.0","0",NA,"33.3","0","0.0","0","0.0","0",NA,"47.5","0",NA,"","6","149.8","0",NA,"123.7","4.6","1030210"
"BAMFIELD","48.833","-125.100","BC","",,NA,"",,"",,"0.0","0",NA,"91.5","0",NA,"","6","","",NA,"","","1030600"
"BULL HARBOUR","50.917","-127.950","BC","11.7","0",NA,"18.3","0","4.4","0","0.0","0",NA,"112.8","0",NA,"0.0","10","","",NA,"188.2","0.0","1031110"
"CLAYOQUOT","49.150","-125.900","BC","13.7","0",NA,"26.7","0","6.7","0","0.0","0",NA,"196.8","0",NA,"","8","","",NA,"131.2","1.2","1031650"
"ESTEVAN POINT","49.384","-126.551","BC","12.5","0","-0.8","21.1","0","5.0","0","0.0","0",NA,"138.6","0","104.0","0.0","10","","",NA,"163.7","0.0","1032730"
"KILDONAN","49.000","-125.000","BC","",,NA,"",,"",,"0.0","0",NA,"85.6","0",NA,"","10","","",NA,"","","1034170"
"KYUQUOT","50.033","-127.367","BC","",,NA,"",,"",,"0.0","0",NA,"203.7","0",NA,"","12","","",NA,"","","1034440"
"PACHENA POINT","48.723","-125.097","BC","11.9","0","-1.1","25.6","0","3.3","0","0.0","0",NA,"124.8","0","106.0","0.0","8","","",NA,"183.2","0.0","1035940"
"PORT ALBERNI","49.233","-124.800","BC","14.0","0",NA,"32.8","0","3.3","0","0.0","0",NA,"48.7","0",NA,"","5","","",NA,"128.7","9.6","1036205"
"PORT ALICE","50.386","-127.453","BC","",,"","",,"",,"0.0","0",NA,"164.6","0","126.0","","11","","",NA,"","","1036240"
"QUATSINO","50.533","-127.650","BC","12.6","0","-1.2","24.4","0","3.9","0","0.0","0",NA,"137.7","0","113.0","","10","","",NA,"162.9","0.0","1036570"
"SPRING ISLAND","50.000","-127.417","BC","12.9","0",NA,"29.4","0","5.6","0","0.0","0",NA,"175.9","0",NA,"0.0","11","","",NA,"157.3","5.1","1037650"
"TAHSIS","49.917","-126.650","BC","",,NA,"",,"",,"0.0","0",NA,"167.6","0",NA,"","11","","",NA,"","","1037890"
"ZEBALLOS","49.983","-126.850","BC","",,NA,"",,"",,"0.0","0",NA,"245.6","0",NA,"","12","","",NA,"","","1039030"
"ALTA LAKE","50.150","-122.950","BC","11.7","0",NA,"30.6","0","-1.7","0","0.0","0",NA,"55.7","0",NA,"","5","","",NA,"190.7","0.7","1040390"
"ALTA LAKE 2","50.150","-122.983","BC","",,NA,"",,"",,"0.0","0",NA,"52.3","0",NA,"","8","","",NA,"","","1040420"
"BRITANNIA BEACH FURRY CR","49.584","-123.224","BC","14.6","0",NA,"27.8","0","7.2","0","0.0","0",NA,"70.0","0",NA,"","6","","",NA,"114.7","12.6","1041050"
"CAPILANO INTAKE","49.400","-123.150","BC","",,NA,"",,"",,"0.0","0",NA,"112.5","0",NA,"","7","","",NA,"","","1041380"
"CLOWHOM FALLS","49.717","-123.533","BC","",,NA,"",,"",,"0.0","0",NA,"79.3","0",NA,"","8","","",NA,"","","1041710"
"GARIBALDI","49.983","-123.133","BC","",,NA,"",,"",,"0.0","0",NA,"55.7","0",NA,"","9","","",NA,"","","1043060"
"GIBSONS","49.398","-123.512","BC","13.3","0","-1.9","28.9","0","3.3","0","0.0","0",NA,"61.1","0","101.0","","6","","",NA,"145.4","3.8","1043150"
"LOIS LAKE","49.867","-124.150","BC","",,NA,"",,"",,"0.0","0",NA,"168.1","0",NA,"","9","","",NA,"","","1044680"
"LOIS RIVER DAM","49.795","-124.318","BC","",,NA,"",,"",,"0.0","0",NA,"97.6","0","139.0","","9","","",NA,"","","1044710"
"POWELL RIVER","49.876","-124.554","BC","14.6","6","-1.0","27.2","3","7.2","3","0.0","0",NA,"65.0","0","126.0","","9","","",NA,"88.6","6.2","1046390"
"POWELL RIVER A","49.834","-124.500","BC","12.4","0","-1.7","27.8","0","1.1","0","0.0","0",NA,"76.3","0","140.0","","8","","",NA,"167.7","0.1","1046391"
"SECHELT","49.467","-123.767","BC","",,NA,"",,"",,"0.0","0",NA,"43.4","0",NA,"","4","","",NA,"","","1047170"
"STILLWATER POWER HOUSE","49.767","-124.317","BC","",,NA,"",,"",,"0.0","0",NA,"87.5","0","135.0","","8","","",NA,"","","1047770"
"TUNNEL CAMP","49.617","-123.133","BC","",,NA,"",,"",,"0.0","0",NA,"143.4","0",NA,"","7","","",NA,"","","1048310"
"CAPE ST JAMES","51.933","-131.017","BC","11.7","0",NA,"17.8","0","7.8","0","0.0","0",NA,"115.4","0",NA,"0.0","12","","",NA,"189.2","0.0","1051350"
"DEAD TREE POINT","53.367","-131.933","BC","",,NA,"",,"",,"0.0","0",NA,"70.0","0",NA,"","12","","",NA,"","","1052310"
"LANGARA","54.256","-133.058","BC","11.2","0","-1.1","15.6","0","7.8","0","0.0","0","0.0","148.6","0","78.0","0.0","17","","",NA,"204.7","0.0","1054500"
"MASSET AIRPORT","54.025","-132.121","BC","11.3","0",NA,"17.2","0","0.0","0","0.0","0",NA,"111.1","0",NA,"","12","","",NA,"200.0","0.0","1054920"
