"Environment and Climate Change Canada"
"Monthly Values for June - 1962"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BAMBERTON OCEAN CEMENT","48.583","-123.517","BC","",,NA,"",,"",,"0.0","0",NA,"17.3","0",NA,"","4","","",NA,"","","1010595"
"BEAR CREEK","48.500","-124.000","BC","10.9","0",NA,"24.4","0","1.7","0","0.0","0",NA,"64.3","0",NA,"","5","","",NA,"211.9","0.0","1010720"
"BECHER BAY","48.333","-123.633","BC","13.1","0",NA,"23.9","0","5.0","0","0.0","0",NA,"24.9","0",NA,"","4","","",NA,"147.5","0.0","1010780"
"BRENTWOOD W SAANICH RD","48.567","-123.433","BC","",,NA,"",,"",,"0.0","0",NA,"14.3","0",NA,"","4","","",NA,"","","1010965"
"CHEMAINUS","48.935","-123.742","BC","",,NA,"",,"",,"0.0","0",NA,"30.2","0",NA,"","4","","",NA,"","","1011500"
"CORDOVA BAY","48.533","-123.367","BC","13.8","1",NA,"26.7","1","4.4","0","0.0","0",NA,"16.6","0",NA,"","4","","",NA,"122.5","0.8","1011920"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","13.6","0",NA,"24.4","0","4.4","0","0.0","0",NA,"16.3","0",NA,"","3","286.3","0",NA,"134.2","1.7","1012010"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","14.0","0","-0.9","28.3","0","3.3","0","0.0","0",NA,"65.4","0","113.0","","5","189.5","0","107.0","120.6","0.6","1012040"
"COWICHAN LAKE NITINAT","48.933","-124.483","BC","",,NA,"",,"",,"0.0","0",NA,"98.0","0",NA,"","4","","",NA,"","","1012052"
"COWICHAN LAKE VILLAGE","48.829","-124.052","BC","14.1","0","-0.9","27.2","0","3.9","0","0.0","0",NA,"56.4","0","99.0","","4","","",NA,"118.3","0.8","1012055"
"DUNCAN EAST","48.783","-123.683","BC","",,NA,"",,"",,"0.0","0",NA,"20.4","0",NA,"","3","","",NA,"","","1012566"
"DUNCAN FORESTRY","48.767","-123.683","BC","14.0","0",NA,"27.2","0","3.3","0","0.0","0",NA,"17.3","0",NA,"","2","","",NA,"122.7","1.5","1012570"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","",,NA,"",,"",,"0.0","0",NA,"11.4","0",NA,"","3","","",NA,"","","1012710"
"GALIANO ISLAND GCC","48.900","-123.350","BC","",,NA,"",,"",,"0.0","0",NA,"16.9","0",NA,"","2","","",NA,"","","1013045"
"JAMES ISLAND","48.600","-123.350","BC","13.9","0",NA,"25.6","0","4.4","0","0.0","0",NA,"10.9","0",NA,"","2","","",NA,"125.3","0.9","1013720"
"LANGFORD LAKE","48.433","-123.533","BC","",,NA,"",,"",,"0.0","0",NA,"15.4","0",NA,"","3","","",NA,"","","1014530"
"PENDER ISLAND","48.767","-123.300","BC","",,NA,"",,"",,"0.0","0",NA,"19.5","0",NA,"","3","","",NA,"","","1016120"
"RIVER JORDAN","48.417","-124.050","BC","12.4","0",NA,"22.8","0","5.0","0","0.0","0",NA,"44.5","0",NA,"","5","","",NA,"169.3","0.0","1016780"
"SAANICHTON CDA","48.698","-123.594","BC","13.8","0","-1.2","25.6","0","4.4","0","0.0","0",NA,"14.4","0","42.0","0.0","3","278.5","0","121.0","127.7","0.5","1016940"
"SALTAIR","48.967","-123.767","BC","",,NA,"",,"",,"0.0","0",NA,"43.5","0",NA,"","6","","",NA,"","","1016980"
"SALTSPRING ISLAND","48.850","-123.500","BC","14.4","0",NA,"25.6","0","5.0","0","0.0","0",NA,"25.1","0",NA,"","5","","",NA,"109.9","0.7","1016990"
"SAANICH DOM ASTRO OBS","48.517","-123.417","BC","15.1","0",NA,"28.9","0","4.4","0","0.0","0",NA,"15.6","0",NA,"","5","","",NA,"97.5","11.1","10169DK"
"SALTSPRING VESUVIUS","48.883","-123.567","BC","14.7","0",NA,"27.2","0","5.6","0","0.0","0",NA,"16.1","0",NA,"","2","","",NA,"100.4","2.1","1017000"
"SHAWNIGAN LAKE","48.647","-123.627","BC","14.0","0","-1.1","27.2","0","3.9","0","0.0","0",NA,"22.8","0","57.0","","4","","",NA,"120.9","1.3","1017230"
"SOOKE LAKE","48.517","-123.700","BC","",,NA,"",,"",,"0.0","0",NA,"37.4","0",NA,"","6","","",NA,"","","1017560"
"VICTORIA FRANCIS PARK","48.476","-123.443","BC","",,NA,"",,"",,"0.0","0",NA,"1.5","21",NA,"","1","","",NA,"","","1018605"
"VICTORIA GONZALES HTS","48.417","-123.317","BC","13.4","0",NA,"22.2","0","7.2","0","0.0","0",NA,"11.7","0",NA,"0.0","3","337.3","0",NA,"137.2","0.0","1018610"
"VICTORIA GORDON HEAD","48.467","-123.300","BC","",,NA,"",,"",,"0.0","0",NA,"23.2","0",NA,"","4","","",NA,"","","1018614"
"VICTORIA HIGHLAND","48.509","-123.508","BC","",,"","",,"",,"0.0","0",NA,"19.7","0","59.0","","3","","",NA,"","","1018616"
