"Environment and Climate Change Canada"
"Monthly Values for December - 1965"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BAMBERTON OCEAN CEMENT","48.583","-123.517","BC","",,NA,"",,"",,"47.6","0",NA,"203.8","0",NA,"","20","","",NA,"","","1010595"
"BEAR CREEK","48.500","-124.000","BC","1.4","10",NA,"9.4","7","-4.4","7","152.6","0",NA,"478.7","0",NA,"","19","","",NA,"349.4","0.0","1010720"
"BECHER BAY","48.333","-123.633","BC","4.2","0",NA,"14.4","0","-3.9","0","39.9","0",NA,"184.4","0",NA,"","22","","",NA,"426.6","0.0","1010780"
"BRENTWOOD W SAANICH RD","48.567","-123.433","BC","",,NA,"",,"",,"58.4","0",NA,"203.7","0",NA,"","21","","",NA,"","","1010965"
"CHEMAINUS","48.935","-123.742","BC","",,NA,"",,"",,"67.4","0",NA,"260.9","0",NA,"","24","","",NA,"","","1011500"
"CORDOVA BAY","48.533","-123.367","BC","4.1","0",NA,"11.7","0","-8.3","0","35.2","0",NA,"174.2","0",NA,"","20","","",NA,"431.9","0.0","1011920"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","3.4","0",NA,"12.2","0","-3.9","0","57.1","0",NA,"181.3","0",NA,"","22","51.7","0",NA,"451.9","0.0","1012010"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","2.6","0","-0.3","11.7","0","-5.6","0","114.2","0","577.0","413.7","0","122.0","","23","14.2","0","36.0","477.6","0.0","1012040"
"COWICHAN LAKE VILLAGE","48.829","-124.052","BC","2.9","0","0.3","12.8","0","-6.1","0","101.4","0","704.0","394.7","0","134.0","","23","","",NA,"469.2","0.0","1012055"
"DUNCAN FORESTRY","48.767","-123.683","BC","3.5","0",NA,"13.3","0","-7.8","0","68.1","0",NA,"195.1","0",NA,"","21","","",NA,"449.4","0.0","1012570"
