"Environment and Climate Change Canada"
"Monthly Values for January - 1968"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BAMBERTON OCEAN CEMENT","48.583","-123.517","BC","",,NA,"",,"",,"11.0","0",NA,"328.9","0",NA,"","16","","",NA,"","","1010595"
"BEAR CREEK","48.500","-124.000","BC","0.2","1",NA,"7.8","1","-8.9","0","162.7","0",NA,"778.0","0",NA,"","21","","",NA,"535.5","0.0","1010720"
"BRENTWOOD W SAANICH RD","48.567","-123.433","BC","",,NA,"",,"",,"22.8","0",NA,"260.1","0",NA,"","17","","",NA,"","","1010965"
"CENTRAL SAANICH TANNER","48.550","-123.400","BC","",,NA,"",,"",,"9.1","0",NA,"191.6","0",NA,"","13","","",NA,"","","10114FF"
"CHEMAINUS","48.935","-123.742","BC","",,NA,"",,"",,"35.1","0",NA,"356.1","0",NA,"","18","","",NA,"","","1011500"
"CORDOVA BAY","48.533","-123.367","BC","3.8","0",NA,"12.8","0","-5.6","0","10.9","0",NA,"198.7","0",NA,"","17","","",NA,"440.7","0.0","1011920"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","3.4","0",NA,"13.9","0","-6.1","0","17.1","0",NA,"245.1","0",NA,"","18","48.6","0",NA,"451.1","0.0","1012010"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","2.4","0","-0.9","12.8","0","-8.9","0","119.4","0","438.0","573.6","0","160.0","","19","34.3","0","73.0","482.2","0.0","1012040"
"COWICHAN LAKE VILLAGE","48.829","-124.052","BC","1.9","0","-1.6","10.0","0","-9.4","0","88.4","0","446.0","610.3","0","176.0","","21","","",NA,"498.6","0.0","1012055"
"CROFTON","48.817","-123.667","BC","",,NA,"",,"",,"8.8","0",NA,"317.7","0",NA,"","18","","",NA,"","","1012190"
"DUNCAN FORESTRY","48.767","-123.683","BC","2.6","0",NA,"14.4","0","-8.9","0","25.3","0",NA,"319.9","0",NA,"","18","","",NA,"477.7","0.0","1012570"
"EAST SOOKE ANDERSON COVE","48.350","-123.633","BC","3.6","0",NA,"13.9","0","-5.6","0","19.6","0",NA,"202.7","0",NA,"","21","","",NA,"445.3","0.0","1012628"
"ELK LAKE","48.517","-123.383","BC","3.9","0",NA,"13.9","0","-5.6","0","16.5","0",NA,"199.8","0",NA,"","16","","",NA,"438.5","0.0","1012655"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","",,NA,"",,"",,"8.2","0",NA,"168.0","0",NA,"","14","","",NA,"","","1012710"
"JAMES ISLAND","48.600","-123.350","BC","4.0","0",NA,"12.2","0","-4.4","0","9.6","0",NA,"169.6","0",NA,"","17","","",NA,"434.7","0.0","1013720"
"RIVER JORDAN","48.417","-124.050","BC","4.1","8",NA,"12.2","4","-5.6","8","18.4","0",NA,"379.7","0",NA,"","22","","",NA,"318.7","0.0","1016780"
"SAANICHTON CDA","48.698","-123.594","BC","3.7","0","-1.1","13.9","0","-5.6","0","6.0","0","74.0","208.8","0","144.0","0.0","18","42.9","0","72.0","442.3","0.0","1016940"
"SAANICH DENSMORE","48.500","-123.400","BC","3.5","0",NA,"13.9","0","-5.0","0","7.9","0",NA,"180.0","0",NA,"","16","","",NA,"450.5","0.0","1016942"
"SALTSPRING ISLAND","48.850","-123.500","BC","3.8","0",NA,"13.3","0","-5.6","0","12.6","0",NA,"284.0","0",NA,"","17","","",NA,"441.7","0.0","1016990"
"SAANICH DOM ASTRO OBS","48.517","-123.417","BC","3.2","0",NA,"12.8","0","-6.7","0","28.9","0",NA,"199.4","0",NA,"","19","","",NA,"460.2","0.0","10169DK"
"SHAWNIGAN LAKE","48.647","-123.627","BC","2.4","0","-1.0","13.3","0","-8.9","0","42.3","0","209.0","306.8","0","142.0","","17","","",NA,"483.5","0.0","1017230"
"SIDNEY DEEP COVE","48.683","-123.400","BC","",,NA,"",,"",,"5.0","0",NA,"219.9","0",NA,"","17","","",NA,"","","1017329"
"SOOKE LAKE NORTH","48.576","-123.640","BC","",,NA,"",,"",,"66.3","0","326.0","357.5","0","139.0","","19","","",NA,"","","1017563"
"SOUTH PENDER ISLAND 2","48.750","-123.217","BC","",,NA,"",,"",,"3.0","0",NA,"161.3","0",NA,"","15","","",NA,"","","1017610"
"VICTORIA AMROTH PLACE","48.450","-123.283","BC","",,NA,"",,"",,"11.9","0",NA,"103.9","0",NA,"","16","","",NA,"","","1018590"
"VICTORIA GONZALES HTS","48.417","-123.317","BC","4.6","0",NA,"12.8","0","-5.0","0","15.1","0",NA,"102.6","0",NA,"0.0","16","59.4","0",NA,"414.9","0.0","1018610"
"VICTORIA GORDON HEAD","48.467","-123.300","BC","",,NA,"",,"",,"13.1","0",NA,"109.6","0",NA,"","16","","",NA,"","","1018614"
"VICTORIA HIGHLAND","48.509","-123.508","BC","",,"","",,"",,"48.9","0","320.0","326.1","0","166.0","","18","","",NA,"","","1018616"
"VICTORIA INT'L A","48.647","-123.426","BC","3.7","0","-0.9","15.0","0","-6.1","0","12.5","0","115.0","208.4","0","145.0","0.0","15","","",NA,"443.7","0.0","1018620"
"VICTORIA MARINE","48.367","-123.750","BC","4.3","0",NA,"12.2","0","-5.0","0","18.0","0",NA,"217.4","0",NA,"","19","","",NA,"423.8","0.0","1018642"
"VICTORIA TILLICUM","48.450","-123.392","BC","4.2","0",NA,"13.3","0","-4.4","0","8.7","0",NA,"155.0","0",NA,"","17","","",NA,"427.9","0.0","1018660"
"WILLIAM HEAD","48.340","-123.532","BC","4.8","0","-0.9","13.3","0","-3.3","0","4.3","0","117.0","178.7","0","116.0","","19","","",NA,"407.8","0.0","1018935"
"VICTORIA WEST","48.433","-123.383","BC","",,NA,"",,"",,"18.3","0",NA,"134.9","0",NA,"","17","","",NA,"","","101H6FF"
"VICTORIA SHELBOURNE","48.467","-123.333","BC","",,NA,"",,"",,"10.4","0",NA,"127.7","0",NA,"","15","","",NA,"","","101QF57"
"VICTORIA SHORT STREET","48.450","-123.367","BC","4.6","0",NA,"13.9","0","-4.4","0","4.6","0",NA,"142.5","0",NA,"","17","","",NA,"414.6","0.0","101QFEG"
"ALERT BAY","50.583","-126.933","BC","3.1","0",NA,"13.9","0","-4.4","0","65.2","0",NA,"394.8","0",NA,"13.0","20","","",NA,"460.7","0.0","1020270"
"BALLENAS ISLAND","49.350","-124.160","BC","",,NA,"",,"",,"11.6","0",NA,"187.1","0",NA,"","15","","",NA,"","","1020590"
"BLACK CREEK","49.846","-125.133","BC","",,"","",,"",,"57.4","0","332.0","508.6","0","218.0","","15","","",NA,"","","1020880"
