"Environment and Climate Change Canada"
"Monthly Values for July - 1968"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BAMBERTON OCEAN CEMENT","48.583","-123.517","BC","",,NA,"",,"",,"0.0","0",NA,"12.7","0",NA,"","3","","",NA,"","","1010595"
"BEAR CREEK","48.500","-124.000","BC","15.5","13",NA,"28.9","8","5.0","9","0.0","0",NA,"69.3","0",NA,"","5","","",NA,"48.2","3.0","1010720"
"BRENTWOOD W SAANICH RD","48.567","-123.433","BC","",,NA,"",,"",,"0.0","0",NA,"14.9","0",NA,"","4","","",NA,"","","1010965"
"CENTRAL SAANICH TANNER","48.550","-123.400","BC","",,NA,"",,"",,"0.0","0",NA,"13.7","0",NA,"","4","","",NA,"","","10114FF"
"CHEMAINUS","48.935","-123.742","BC","",,NA,"",,"",,"0.0","0",NA,"25.2","0",NA,"","6","","",NA,"","","1011500"
"CORDOVA BAY","48.533","-123.367","BC","17.3","0",NA,"29.4","0","7.8","0","0.0","0",NA,"13.2","0",NA,"","4","","",NA,"38.8","17.2","1011920"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","18.2","0",NA,"30.6","0","7.8","0","0.0","0",NA,"22.1","0",NA,"","6","315.2","0",NA,"36.5","43.3","1012010"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","18.9","0","1.2","33.9","0","7.2","0","0.0","0",NA,"33.0","0","90.0","","6","226.6","0","97.0","31.4","60.5","1012040"
"COWICHAN LAKE VILLAGE","48.829","-124.052","BC","18.1","0","0.3","32.2","0","6.7","0","0.0","0",NA,"34.5","0","99.0","","6","","",NA,"38.1","42.1","1012055"
"DUNCAN FORESTRY","48.767","-123.683","BC","17.8","0",NA,"32.2","0","6.7","0","0.0","0",NA,"13.2","0",NA,"","5","","",NA,"33.9","29.0","1012570"
