"Environment and Climate Change Canada"
"Monthly Values for November - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHEMAINUS","48.935","-123.742","BC","8.7","0",NA,"17.0","0","1.0","0","0.0","0",NA,"267.8","0",NA,"0.0","22","","",NA,"280.0","0.0","1011500"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","6.5","0","1.1","16.5","0","-2.0","0","1.0","0","9.0","524.9","0","135.0","0.0","24","","",NA,"344.0","0.0","1012040"
"LAKE COWICHAN","48.829","-124.052","BC","7.5","15","2.1","18.0","10","-1.0","10","0.0","16",NA,"463.6","10",NA,"","15","","",NA,"158.2","0.0","1012055"
"DISCOVERY ISLAND","48.425","-123.226","BC","",,NA,"15.4","0","",,"",,NA,"",,NA,"","","",,NA,"","","1012475"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","9.8","1",NA,"16.3","1","3.0","0","",,NA,"104.4","1",NA,"","15","",,NA,"237.7","0.0","1012710"
"GALIANO NORTH","48.985","-123.573","BC","8.8","5",NA,"15.5","5","2.5","5","0.0","5",NA,"202.6","5",NA,"0.0","22","","",NA,"230.8","0.0","10130MN"
"MALAHAT","48.575","-123.530","BC","7.5","0",NA,"15.5","0","1.6","0","",,NA,"231.4","0",NA,"","20","",,NA,"315.8","0.0","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","3",NA,"164.6","3",NA,"0.0","22","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"0.0","0","0.0","228.6","0","119.0","0.0","23","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","8.1","0",NA,"17.3","0","-0.8","0","",,NA,"211.0","0",NA,"0.0","20","",,NA,"296.3","0.0","1015630"
"NORTH PENDER ISLAND","48.764","-123.287","BC","10.4","13",NA,"18.5","13","3.0","13","0.0","13",NA,"78.9","13",NA,"0.0","10","","",NA,"129.7","0.0","1015638"
"RACE ROCKS","48.298","-123.531","BC","10.6","0",NA,"17.3","0","6.1","0","",,NA,"",,NA,"","","",,NA,"221.2","0.0","1016640"
"SAANICHTON CDA","48.622","-123.419","BC","8.8","0","2.2","16.5","0","0.5","0","0.0","0","0.0","147.2","0","95.0","0.0","21","","",NA,"275.5","0.0","1016940"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","8.0","0","1.4","15.0","0","0.0","0","0.0","0","0.0","222.6","0","133.0","0.0","22","","",NA,"300.8","0.0","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","20",NA,"63.8","20",NA,"","10","","",NA,"","","1016RM0"
"SATURNA CAPMON CS","48.775","-123.128","BC","8.6","1",NA,"17.9","1","1.5","0","",,NA,"145.7","1",NA,"","18","",,NA,"272.9","0.0","1017099"
