"Environment and Climate Change Canada"
"Monthly Values for February - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHEMAINUS","48.935","-123.742","BC","3.5","0",NA,"13.0","0","-3.0","0","62.2","0",NA,"184.2","0",NA,"3.0","15","","",NA,"406.0","0.0","1011500"
"LAKE COWICHAN","48.829","-124.052","BC","1.7","14","-2.4","12.5","10","-5.0","10","46.4","16",NA,"222.8","12",NA,"","13","","",NA,"228.4","0.0","1012055"
"DISCOVERY ISLAND","48.425","-123.226","BC","",,NA,"11.6","0","",,"",,NA,"",,NA,"","","",,NA,"","","1012475"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","4.5","0",NA,"11.1","0","-1.6","0","",,NA,"44.2","6",NA,"","7","",,NA,"377.1","0.0","1012710"
"GALIANO NORTH","48.985","-123.573","BC","3.5","8",NA,"10.5","8","-2.0","8","32.0","8",NA,"93.4","8",NA,"0.0","10","","",NA,"289.1","0.0","10130MN"
"MALAHAT","48.575","-123.530","BC","2.0","0",NA,"9.3","0","-5.4","0","",,NA,"44.4","16",NA,"","6","",,NA,"447.6","0.0","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"42.0","3",NA,"138.1","3",NA,"1.0","13","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"50.4","0","515.0","152.6","0","122.0","0.0","16","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","2.8","0",NA,"11.8","0","-4.6","0","",,NA,"153.5","0",NA,"0.0","15","",,NA,"425.6","0.0","1015630"
"NORTH PENDER ISLAND","48.764","-123.287","BC","4.1","0",NA,"12.0","0","-3.0","0","58.0","0",NA,"117.8","0",NA,"0.0","12","","",NA,"389.0","0.0","1015638"
"RACE ROCKS","48.298","-123.531","BC","5.2","1",NA,"11.6","1","-1.3","0","",,NA,"",,NA,"","","",,NA,"346.2","0.0","1016640"
"SAANICHTON CDA","48.622","-123.419","BC","4.0","5","-1.3","11.0","3","-3.0","3","39.6","3",NA,"137.6","3",NA,"0.0","13","","",NA,"322.9","0.0","1016940"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","3.2","0","-1.8","10.5","0","-2.5","0","67.4","0","######","149.4","0","152.0","1.0","14","","",NA,"415.5","0.0","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"35.0","20",NA,"117.1","20",NA,"","8","","",NA,"","","1016RM0"
"SATURNA CAPMON CS","48.775","-123.128","BC","2.8","0",NA,"11.6","0","-4.4","0","",,NA,"112.8","0",NA,"","12","",,NA,"426.1","0.0","1017099"
"SATURNA ISLAND CS","48.784","-123.045","BC","4.8","0",NA,"12.5","0","-2.2","0","",,NA,"23.2","7",NA,"","4","",,NA,"370.0","0.0","1017101"
"SHAWNIGAN LAKE","48.647","-123.626","BC","2.4","0","-1.6","12.0","0","-4.5","0","81.0","0","576.0","186.6","0","138.0","4.0","16","","",NA,"435.5","0.0","1017230"
"SHERINGHAM POINT","48.377","-123.921","BC","5.2","1",NA,"13.3","1","-1.3","0","",,NA,"106.4","3",NA,"","14","",,NA,"345.3","0.0","1017254"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","4.1","0",NA,"13.0","0","-3.1","0","",,NA,"93.6","0",NA,"","13","",,NA,"387.9","0.0","1018598"
"VICTORIA FRANCIS PARK","48.476","-123.443","BC","",,NA,"",,"",,"27.4","21",NA,"80.0","21",NA,"","6","","",NA,"","","1018605"
"VICTORIA GONZALES CS","48.413","-123.325","BC","4.5","0",NA,"11.6","0","-2.2","0","",,NA,"52.0","7",NA,"","7","",,NA,"377.2","0.0","1018611"
"VICTORIA HIGHLANDS NORTH","48.538","-123.501","BC","2.4","11",NA,"9.5","11","-4.5","10","52.0","11",NA,"110.5","11",NA,"","10","","",NA,"264.4","0.0","1018618"
"VICTORIA INTL A","48.647","-123.426","BC","3.5","0",NA,"12.3","0","-4.5","0","36.6","0",NA,"129.9","0",NA,"1.0","15","",,NA,"405.0","0.0","1018621"
