X,Y,Area_ha,Geometry,BL_ID,avg amp %BL ,avg brd %BL,avg mam %BL,avg rep %BL ,avg amp %PA,avg brd %PA,avg mam %PA,avg rep %PA,avg bior amp BL,avg bior brd BL,avg bior mam BL,avg bior rep BL,avg bior amp PA,avg bior brd PA,avg bior mam PA,avg bior rep PA
"-1,706,988.46","1,433,390.18","1,097.78",MultiPolygon,1.00,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-1,262,735.43","1,216,804.20","42,425.39",MultiPolygon,2.00,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-767,670.16","1,576,802.22","3,546.71",MultiPolygon,3.00,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"190,122.29","953,605.69","6,689.31",MultiPolygon,4.00,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"1,202,830.50","435,023.84","4,219.06",MultiPolygon,5.00,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-1,761,560.04","1,527,741.65",253.46,MultiPolygon,6,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-471,502.28","1,184,147.24","36,923.79",MultiPolygon,7.00,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"1,287,082.09","701,471.27","6,111.96",MultiPolygon,8.00,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-575,144.55","1,315,698.19","4,536.19",MultiPolygon,9.00,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-1,738,702.98","1,967,602.08",29.73,Polygon,10,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-1,872,803.14","1,754,582.76",113.39,MultiPolygon,11,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-2,090,123.67","1,690,238.61",5.38,MultiPolygon,12,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-1,736,701.25","1,699,253.54",422.39,MultiPolygon,13,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"764,934.24","1,560,981.23","26,214.71",Polygon,14.00,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-893,064.04","1,501,764.75",124.56,MultiPolygon,15,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-1,916,201.44","1,983,766.28",56.2,Polygon,16,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-650,783.18","2,212,311.16","7,790.90",MultiPolygon,17.00,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-2,152,161.78","1,578,945.74",22.21,Polygon,18,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-2,091,605.14","1,882,300.22",4.13,Polygon,19,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-2,104,591.69","1,733,228.89",5.49,Polygon,20,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-555,565.86","1,281,353.73",194.83,Polygon,21,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-2,128,729.80","1,512,543.02",2,Polygon,22,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-541,978.11","1,211,626.50",22.86,MultiPolygon,23,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-1,848,351.31","1,975,578.12",76.22,MultiPolygon,24,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-862,059.35","1,516,728.26",60.54,Polygon,25,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"2,459,062.22","1,085,563.49",270.47,MultiPolygon,26,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-630,957.40","1,120,973.32",962.11,MultiPolygon,27,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-2,024,022.32","1,791,491.05",237.31,MultiPolygon,28,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-1,790,934.46","1,798,601.58",462.82,Polygon,29,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-2,106,155.67","1,868,548.21",13.54,MultiPolygon,30,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"2,336,215.39","1,256,334.26",38.78,MultiPolygon,31,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-2,098,852.81","1,681,112.16",124.78,Polygon,32,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-345,922.93","1,541,951.78","2,106.61",MultiPolygon,33.00,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-347,941.02","1,556,575.58",24.29,Polygon,34,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-1,968,655.36","1,400,170.45",33.83,Polygon,35,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"130,876.40","1,042,233.01","1,727.40",MultiPolygon,36.00,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-1,754,330.86","1,719,387.64",16.2,Polygon,37,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-902,747.67","1,530,714.27",125.8,Polygon,38,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-2,026,920.75","1,544,722.71",457.6,MultiPolygon,39,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-530,369.13","1,174,920.72",64.34,Polygon,40,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-1,698,975.49","1,309,793.01",0,Polygon,41,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-2,088,215.62","1,860,762.82",8.81,Polygon,42,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-2,267,502.32","2,067,607.48",15.04,MultiPolygon,43,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-1,770,944.02","1,562,388.97",277.99,Polygon,44,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-1,669,078.41","1,935,884.90",26.02,Polygon,45,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-1,863,602.62","1,988,331.33",18.76,Polygon,46,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-2,156,438.52","1,655,773.15",4.14,MultiPolygon,47,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-2,151,080.45","2,142,072.33",7.08,MultiPolygon,48,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"2,147,420.17","1,359,077.75",45.82,MultiPolygon,49,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-2,115,610.91","1,496,879.37",2.56,Polygon,50,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"570,060.78","1,066,882.40",20.79,MultiPolygon,51,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-455,035.75","1,165,745.03",193.37,MultiPolygon,52,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-427,225.94","1,160,175.44",193.87,MultiPolygon,53,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-442,412.73","1,201,630.76",65.37,Polygon,54,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-1,904,447.52","1,395,462.57",2.47,Polygon,55,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-1,766,980.58","1,991,777.73",212.65,Polygon,56,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
"-146,112.92","1,790,435.94","1,795.81",Polygon,57.00,2.754,3.419,3.447,2.502,9.802,11.249,13.42,10.936,3.768,4.234,4.44,3.831,2.198,4.932,3.674,1.318
