Long,Lat,Stn_Name,Clim_ID,Prov_or_Ter,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,year
-123.742,48.935,CHEMAINUS,1011500,BC,5.1,0.0,,11.5,0.0,-1.0,0.0,0.0,0.0,,417.4,0.0,,0.0,25.0,,,,400.2,0.0,2018
-124.133,48.824,COWICHAN LAKE FORESTRY,1012040,BC,3.2,0.0,-0.2,12.5,0.0,-6.0,0.0,4.0,0.0,15.0,572.0,0.0,159.0,0.0,23.0,,,,460.3,0.0,2018
-124.052,48.829,LAKE COWICHAN,1012055,BC,3.8,13.0,0.3,12.0,8.0,-4.5,9.0,2.4,29.0,,520.0,12.0,,,19.0,,,,254.9,0.0,2018
-123.226,48.425,DISCOVERY ISLAND,1012475,BC,,,,12.9,0.0,,,,,,,,,,,,,,,,2018
-123.439,48.432,ESQUIMALT HARBOUR,1012710,BC,6.7,0.0,,11.9,0.0,2.0,0.0,,,,141.8,0.0,,,21.0,,,,351.6,0.0,2018
-123.573,48.985,GALIANO NORTH,10130MN,BC,6.3,7.0,,11.5,7.0,2.0,7.0,0.0,7.0,,237.8,7.0,,0.0,21.0,,,,280.2,0.0,2018
-123.53,48.575,MALAHAT,1014820,BC,4.0,0.0,,10.9,0.0,-1.2,0.0,,,,278.2,4.0,,,21.0,,,,434.0,0.0,2018
-123.561,48.374,METCHOSIN,1015105,BC,,,,,,,,0.0,8.0,,219.2,8.0,,0.0,18.0,,,,,,2018
-123.718,48.824,NORTH COWICHAN,1015628,BC,,,,,,,,0.0,0.0,0.0,310.2,0.0,160.0,0.0,24.0,,,,,,2018
-123.719,48.824,NORTH COWICHAN,1015630,BC,4.9,0.0,,11.4,0.0,-3.2,0.0,,,,,,,0.0,,,,,406.9,0.0,2018
-123.287,48.764,NORTH PENDER ISLAND,1015638,BC,6.0,2.0,,12.0,2.0,0.0,2.0,0.0,2.0,,186.4,2.0,,0.0,21.0,,,,347.8,0.0,2018
-123.531,48.298,RACE ROCKS,1016640,BC,7.2,0.0,,15.5,0.0,2.6,0.0,,,,,,,,,,,,336.0,0.0,2018
-123.419,48.622,SAANICHTON CDA,1016940,BC,5.8,2.0,1.0,12.0,1.0,0.5,1.0,0.0,1.0,,242.0,1.0,,,24.0,,,,352.8,0.0,2018
-123.546,48.888,SALTSPRING ST MARY'S L,1016995,BC,5.5,0.0,1.2,11.0,0.0,-0.5,0.0,0.0,0.0,0.0,274.4,0.0,169.0,0.0,23.0,,,,387.0,0.0,2018
-123.427,48.598,SAANICHTON MT NEWTON,1016RM0,BC,,,,,,,,0.0,14.0,,198.8,14.0,,0.0,17.0,,,,,,2018
-123.128,48.775,SATURNA CAPMON CS,1017099,BC,5.1,0.0,,12.2,0.0,-2.1,0.0,,,,161.1,0.0,,0.0,20.0,,,,398.8,0.0,2018
-123.045,48.784,SATURNA ISLAND CS,1017101,BC,6.7,0.0,,13.5,0.0,0.8,0.0,,,,150.0,0.0,,,21.0,,,,349.0,0.0,2018
-123.626,48.647,SHAWNIGAN LAKE,1017230,BC,4.3,0.0,0.9,11.0,0.0,-2.0,0.0,0.0,0.0,0.0,333.0,0.0,155.0,0.0,25.0,,,,424.0,0.0,2018
-123.921,48.377,SHERINGHAM POINT,1017254,BC,7.1,0.0,,15.9,0.0,1.4,0.0,,,,260.2,0.0,,,25.0,,,,336.5,0.0,2018
-123.305,48.457,VICTORIA UNIVERSITY CS,1018598,BC,6.3,0.0,,12.4,0.0,1.4,0.0,,,,144.5,0.0,,,21.0,,,,363.8,0.0,2018
-123.325,48.413,VICTORIA GONZALES CS,1018611,BC,6.3,0.0,,12.0,0.0,1.0,0.0,,,,117.6,0.0,,,20.0,,,,361.8,0.0,2018
