"Environment and Climate Change Canada"
"Monthly Values for August - 1919"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BEAR CREEK","48.500","-124.000","BC","",,NA,"",,"",,"0.0","0",NA,"7.6","0",NA,"","2","","",NA,"","","1010720"
"BEAVER LAKE","48.500","-123.350","BC","",,NA,"",,"",,"0.0","0",NA,"4.3","0",NA,"","2","","",NA,"","","1010774"
"CHEMAINUS","48.935","-123.742","BC","",,NA,"",,"",,"0.0","0",NA,"9.9","0",NA,"","2","","",NA,"","","1011500"
"COWICHAN","48.417","-123.700","BC","16.8","0",NA,"28.9","0","6.1","0","0.0","0",NA,"12.5","0",NA,"","3","","",NA,"41.6","3.1","1012008"
"ESQUIMALT","48.433","-123.417","BC","",,NA,"",,"",,"0.0","0",NA,"1.5","0",NA,"","1","","",NA,"","","1012700"
"GOLDSTREAM LAKE","48.450","-123.550","BC","",,NA,"",,"",,"0.0","0",NA,"4.5","0",NA,"","2","","",NA,"","","1013240"
"JAMES ISLAND","48.600","-123.350","BC","16.2","0",NA,"27.8","0","8.9","0","0.0","0",NA,"1.9","0",NA,"","1","","",NA,"61.9","5.5","1013720"
"METCHOSIN","48.374","-123.561","BC","15.5","0",NA,"26.7","0","5.6","0","0.0","0",NA,"1.3","0","5.0","","0","","",NA,"77.4","1.4","1015105"
"MILNES LANDING","48.350","-123.733","BC","15.3","0",NA,"27.8","0","5.0","0","0.0","0",NA,"4.1","0",NA,"","1","","",NA,"87.9","3.4","1015160"
"RIVER JORDAN","48.417","-124.050","BC","",,NA,"",,"",,"0.0","0",NA,"4.1","0",NA,"","2","","",NA,"","","1016780"
