"Environment and Climate Change Canada"
"Monthly Values for January - 1942"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BEAR CREEK","48.500","-124.000","BC","",,NA,"",,"",,"10.2","0",NA,"193.7","0",NA,"","17","","",NA,"","","1010720"
"BEAVER LAKE","48.500","-123.350","BC","",,NA,"",,"",,"12.7","0",NA,"21.6","0",NA,"","4","","",NA,"","","1010774"
"CHEMAINUS","48.935","-123.742","BC","",,NA,"",,"",,"0.0","0",NA,"57.8","0",NA,"","7","","",NA,"","","1011500"
"COLE BAY","48.650","-123.400","BC","",,NA,"",,"",,"13.5","0",NA,"37.3","0",NA,"","11","","",NA,"","","1011775"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","2.5","0",NA,"9.4","0","-7.8","0","5.8","0",NA,"43.6","0",NA,"","9","","",NA,"480.1","0.0","1012010"
"COWICHAN LAKE HATCHERY","48.833","-124.117","BC","2.4","0",NA,"12.8","0","-11.1","0","7.6","0",NA,"126.3","0",NA,"","16","","",NA,"484.1","0.0","1012046"
"CROFTON","48.817","-123.667","BC","",,NA,"",,"",,"5.1","0",NA,"59.6","0",NA,"","11","","",NA,"","","1012190"
"DUNCAN","48.783","-123.717","BC","2.3","0",NA,"14.4","0","-12.8","0","5.1","0",NA,"58.3","0",NA,"","11","","",NA,"486.1","0.0","1012550"
"ESQUIMALT","48.433","-123.417","BC","",,NA,"",,"",,"15.2","0",NA,"46.0","0",NA,"","8","","",NA,"","","1012700"
"GOLDSTREAM LAKE","48.450","-123.550","BC","",,NA,"",,"",,"16.0","0",NA,"52.1","0",NA,"","12","","",NA,"","","1013240"
"JAMES ISLAND","48.600","-123.350","BC","4.7","0",NA,"13.9","0","-3.9","0","9.9","0",NA,"27.4","0",NA,"","8","","",NA,"412.6","0.0","1013720"
"MAYNE ISLAND","48.850","-123.333","BC","",,NA,"",,"",,"2.5","0",NA,"7.6","0",NA,"","3","","",NA,"","","1014930"
"MILNES LANDING","48.350","-123.733","BC","5.2","0",NA,"17.2","0","-6.7","0","10.2","0",NA,"62.8","0",NA,"","12","","",NA,"397.4","0.0","1015160"
"PENDER ISLAND","48.767","-123.300","BC","",,NA,"",,"",,"3.8","0",NA,"27.5","0",NA,"","8","","",NA,"","","1016120"
"RIVER JORDAN","48.417","-124.050","BC","",,NA,"",,"",,"7.6","0",NA,"117.0","0",NA,"","16","","",NA,"","","1016780"
"SAANICHTON CDA","48.698","-123.594","BC","4.0","0","-0.8","10.6","0","-5.6","0","10.2","0","125.0","24.7","0","17.0","","7","","",NA,"433.7","0.0","1016940"
"SALTSPRING ISLAND","48.850","-123.500","BC","3.0","0",NA,"10.0","0","-7.2","0","5.1","0",NA,"42.7","0",NA,"","10","","",NA,"464.5","0.0","1016990"
"SAANICH DOM ASTRO OBS","48.517","-123.417","BC","4.5","0",NA,"11.7","0","-3.9","0","30.5","0",NA,"44.4","0",NA,"","6","","",NA,"418.8","0.0","10169DK"
"SHAWNIGAN LAKE","48.647","-123.627","BC","1.5","0","-1.9","10.6","0","-11.1","0","15.2","0","75.0","55.5","0","26.0","","9","","",NA,"510.1","0.0","1017230"
"SOOKE LAKE","48.517","-123.700","BC","",,NA,"",,"",,"12.7","0",NA,"78.3","0",NA,"","12","","",NA,"","","1017560"
"VICTORIA GONZALES HTS","48.417","-123.317","BC","5.1","0",NA,"11.1","0","-3.9","0","11.9","0",NA,"30.9","0",NA,"","8","","",NA,"400.5","0.0","1018610"
"VICTORIA INT'L A","48.647","-123.426","BC","3.7","0","-0.8","12.2","0","-7.2","0","10.9","0","100.0","33.9","0","24.0","","7","","",NA,"442.7","0.0","1018620"
"ALERT BAY","50.583","-126.933","BC","",,NA,"",,"",,"6.1","0",NA,"148.2","0",NA,"","15","","",NA,"","","1020270"
