"Environment and Climate Change Canada"
"Monthly Values for April - 1942"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BEAR CREEK","48.500","-124.000","BC","",,NA,"",,"",,"0.0","0",NA,"141.7","0",NA,"","20","","",NA,"","","1010720"
"BEAVER LAKE","48.500","-123.350","BC","",,NA,"",,"",,"0.0","0",NA,"25.2","0",NA,"","5","","",NA,"","","1010774"
"CHEMAINUS","48.935","-123.742","BC","",,NA,"",,"",,"0.0","0",NA,"43.5","0",NA,"","5","","",NA,"","","1011500"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","9.4","0",NA,"18.9","0","2.8","0","0.0","0",NA,"43.2","0",NA,"","9","","",NA,"258.4","0.0","1012010"
"COWICHAN LAKE HATCHERY","48.833","-124.117","BC","8.7","0",NA,"22.2","0","-0.6","0","0.0","0",NA,"108.1","0",NA,"","17","","",NA,"277.8","0.0","1012046"
"CROFTON","48.817","-123.667","BC","",,NA,"",,"",,"0.0","0",NA,"54.0","0",NA,"","10","","",NA,"","","1012190"
"DUNCAN","48.783","-123.717","BC","10.4","0",NA,"24.4","0","-0.6","0","0.0","0",NA,"47.0","0",NA,"","9","","",NA,"228.8","0.0","1012550"
"ESQUIMALT","48.433","-123.417","BC","",,NA,"",,"",,"0.0","0",NA,"25.5","0",NA,"","5","","",NA,"","","1012700"
"GOLDSTREAM LAKE","48.450","-123.550","BC","",,NA,"",,"",,"0.0","0",NA,"62.9","0",NA,"","14","","",NA,"","","1013240"
"JAMES ISLAND","48.600","-123.350","BC","9.6","0",NA,"18.3","0","2.8","0","0.0","0",NA,"40.2","0",NA,"","8","","",NA,"250.9","0.0","1013720"
"MILNES LANDING","48.350","-123.733","BC","9.8","0",NA,"22.8","0","0.6","0","0.0","0",NA,"51.2","0",NA,"","11","","",NA,"245.3","0.0","1015160"
"RIVER JORDAN","48.417","-124.050","BC","",,NA,"",,"",,"0.0","0",NA,"105.0","0",NA,"","17","","",NA,"","","1016780"
"SAANICHTON CDA","48.698","-123.594","BC","9.5","0","0.3","18.9","0","1.7","0","0.0","0",NA,"36.3","0","71.0","","8","","",NA,"253.8","0.0","1016940"
"SALTSPRING ISLAND","48.850","-123.500","BC","9.5","0",NA,"19.4","0","0.6","0","0.0","0",NA,"46.7","0",NA,"","9","","",NA,"254.2","0.0","1016990"
"SAANICH DOM ASTRO OBS","48.517","-123.417","BC","10.3","0",NA,"18.9","0","3.3","0","0.0","0",NA,"9.4","0",NA,"","5","","",NA,"232.4","0.0","10169DK"
"SHAWNIGAN LAKE","48.647","-123.627","BC","8.5","0","-0.2","20.6","0","-1.1","0","0.0","0","0.0","43.2","0","61.0","","7","","",NA,"285.1","0.0","1017230"
"SOOKE LAKE","48.517","-123.700","BC","",,NA,"",,"",,"0.0","0",NA,"48.7","0",NA,"","9","","",NA,"","","1017560"
"VICTORIA GONZALES HTS","48.417","-123.317","BC","10.4","0",NA,"18.9","0","3.3","0","0.0","0",NA,"26.3","0",NA,"","6","","",NA,"228.8","0.0","1018610"
"VICTORIA INT'L A","48.647","-123.426","BC","9.3","0","0.3","19.4","0","1.1","0","0.0","0","0.0","33.1","0","69.0","","5","","",NA,"261.0","0.0","1018620"
"ALERT BAY","50.583","-126.933","BC","",,NA,"",,"",,"0.0","0",NA,"85.3","0",NA,"","18","","",NA,"","","1020270"
"CAMERON LAKE","49.283","-124.583","BC","",,NA,"",,"",,"0.0","0",NA,"119.6","0",NA,"","10","","",NA,"","","1021230"
"CAMPBELL RIVER","50.017","-125.300","BC","",,NA,"",,"",,"0.0","0",NA,"85.7","0",NA,"","13","","",NA,"","","1021260"
"CAPE LAZO","49.700","-124.867","BC","8.9","0",NA,"16.1","0","1.1","0","0.0","0",NA,"68.7","0",NA,"","11","","",NA,"271.7","0.0","1021320"
"COURTENAY PUNTLEDGE BCHP","49.683","-125.033","BC","",,NA,"",,"",,"0.0","0",NA,"90.6","0",NA,"","13","","",NA,"","","1021990"
"CUMBERLAND","49.617","-125.033","BC","8.3","0",NA,"21.7","0","-2.2","0","0.0","0",NA,"88.9","0",NA,"","10","","",NA,"292.4","0.0","1022250"
"DENMAN ISLAND","49.517","-124.783","BC","",,NA,"",,"",,"0.0","0",NA,"64.7","0",NA,"","8","","",NA,"","","1022430"
"NANAIMO","49.183","-123.967","BC","9.2","0",NA,"20.0","0","-1.1","0","0.0","0",NA,"59.9","0",NA,"","11","","",NA,"262.7","0.0","1025340"
"PARKSVILLE","49.300","-124.300","BC","",,NA,"",,"",,"0.0","0",NA,"45.4","0",NA,"","10","","",NA,"","","1025970"
"NANAIMO DEPARTURE BAY","49.217","-123.950","BC","9.6","0",NA,"20.6","0","1.1","0","0.0","0",NA,"56.7","0",NA,"","10","","",NA,"250.8","0.0","1025C70"
"PORT HARDY","50.667","-127.483","BC","",,NA,"",,"",,"0.0","0",NA,"161.6","0",NA,"","19","","",NA,"","","1026266"
"SANDWICK","49.750","-125.050","BC","",,NA,"",,"",,"0.0","0",NA,"86.1","0",NA,"","13","","",NA,"","","1027060"
"SAVARY ISLAND","49.933","-124.850","BC","",,NA,"",,"",,"0.0","0",NA,"62.2","0",NA,"","9","","",NA,"","","1027110"
"VANANDA","49.750","-124.583","BC","8.6","0",NA,"15.0","0","0.0","0","0.0","0",NA,"59.5","0",NA,"","10","","",NA,"283.3","0.0","1028340"
"ALBERNI BEAVER CREEK","49.367","-124.933","BC","7.9","0",NA,"22.2","0","-3.3","0","0.0","0",NA,"111.7","0",NA,"","12","","",NA,"303.5","0.0","1030180"
"BAMFIELD","48.833","-125.100","BC","",,NA,"",,"",,"0.0","0",NA,"235.1","0",NA,"","16","","",NA,"","","1030600"
"BULL HARBOUR","50.917","-127.950","BC","7.8","0",NA,"15.0","0","0.0","0","0.0","0",NA,"140.4","0",NA,"","15","","",NA,"304.6","0.0","1031110"
"CLAYOQUOT","49.150","-125.900","BC","9.8","0",NA,"17.8","0","2.8","0","0.0","0",NA,"222.6","0",NA,"","18","","",NA,"245.9","0.0","1031650"
"ESTEVAN POINT","49.384","-126.551","BC","8.0","0","-0.2","13.3","0","1.1","0","0.0","0","0.0","254.1","0","93.0","","17","","",NA,"299.1","0.0","1032730"
"KILDONAN","49.000","-125.000","BC","",,NA,"",,"",,"0.0","0",NA,"233.5","0",NA,"","18","","",NA,"","","1034170"
"KYUQUOT","50.033","-127.367","BC","",,NA,"",,"",,"0.0","0",NA,"273.8","0",NA,"","19","","",NA,"","","1034440"
"NITINAT LAKE","48.750","-124.750","BC","",,NA,"",,"",,"0.0","0",NA,"235.1","0",NA,"","16","","",NA,"","","1035610"
"PACHENA POINT","48.723","-125.097","BC","7.6","0","-0.7","15.6","0","0.0","0","0.0","0","0.0","196.9","0","86.0","","15","","",NA,"313.2","0.0","1035940"
"PORT ALBERNI","49.233","-124.800","BC","8.0","0",NA,"21.7","0","-2.8","0","0.0","0",NA,"94.0","0",NA,"","13","","",NA,"300.2","0.0","1036205"
"PORT ALICE","50.386","-127.453","BC","",,"","",,"",,"0.0","0","0.0","312.2","0","121.0","","20","","",NA,"","","1036240"
"QUATSINO","50.533","-127.650","BC","7.9","0","-0.4","16.7","0","0.0","0","0.0","0","0.0","238.1","0","134.0","","18","","",NA,"302.8","0.0","1036570"
"UCLUELET","48.967","-125.533","BC","9.1","0",NA,"18.3","0","-0.6","0","0.0","0",NA,"238.2","0",NA,"","15","","",NA,"267.6","0.0","1038330"
"BRITANNIA BEACH FURRY CR","49.584","-123.224","BC","9.6","0",NA,"20.0","0","1.7","0","0.0","0",NA,"147.0","0",NA,"","14","","",NA,"252.2","0.0","1041050"
"BUCCANEER BAY","49.483","-123.967","BC","",,NA,"",,"",,"0.0","0",NA,"54.0","0",NA,"","10","","",NA,"","","1041100"
"CAPILANO INTAKE","49.400","-123.150","BC","",,NA,"",,"",,"0.0","0",NA,"147.9","0",NA,"","13","","",NA,"","","1041380"
"CLOWHOM FALLS","49.717","-123.533","BC","",,NA,"",,"",,"0.0","0",NA,"160.2","0",NA,"","15","","",NA,"","","1041710"
"GARIBALDI","49.983","-123.133","BC","",,NA,"",,"",,"0.0","0",NA,"120.4","0",NA,"","13","","",NA,"","","1043060"
"HOLLYBURN","49.317","-123.167","BC","",,NA,"",,"",,"0.0","0",NA,"147.2","0",NA,"","13","","",NA,"","","1043504"
"LOIS RIVER DAM","49.795","-124.318","BC","",,NA,"",,"",,"0.0","0",NA,"99.2","0","88.0","","14","","",NA,"","","1044710"
"POWELL RIVER","49.876","-124.554","BC","9.6","0","0.1","16.1","0","2.2","0","0.0","0",NA,"86.2","0","122.0","","8","","",NA,"251.0","0.0","1046390"
"ROBERTS CREEK","49.400","-123.683","BC","",,NA,"",,"",,"0.0","0",NA,"100.9","0",NA,"","15","","",NA,"","","1046791"
"SECHELT","49.467","-123.767","BC","",,NA,"",,"",,"0.0","0",NA,"62.5","0",NA,"","8","","",NA,"","","1047170"
"STILLWATER POWER HOUSE","49.767","-124.317","BC","",,NA,"",,"",,"0.0","0",NA,"72.0","0","72.0","","12","","",NA,"","","1047770"
"TUNNEL CAMP","49.617","-123.133","BC","",,NA,"",,"",,"0.0","0",NA,"195.0","0",NA,"","15","","",NA,"","","1048310"
"DEAD TREE POINT","53.367","-131.933","BC","",,NA,"",,"",,"0.0","0",NA,"93.1","0",NA,"","17","","",NA,"","","1052310"
"LANGARA","54.256","-133.058","BC","6.6","0","0.3","12.2","0","0.6","0","0.0","0","0.0","127.1","0","91.0","","20","","",NA,"340.7","0.0","1054500"
"MASSET AIRPORT","54.025","-132.121","BC","7.1","0",NA,"12.8","0","-1.7","0","0.0","0",NA,"222.3","0",NA,"","19","","",NA,"327.5","0.0","1054920"
"QUEEN CHARLOTTE CITY","53.250","-132.083","BC","",,NA,"",,"",,"0.0","0",NA,"143.5","0",NA,"","17","","",NA,"","","1056590"
"BELLA BELLA","52.167","-128.150","BC","",,NA,"",,"",,"0.0","0",NA,"197.5","0",NA,"","17","","",NA,"","","1060810"
"BELLA COOLA","52.371","-126.685","BC","8.4","0","0.3","20.6","0","-3.3","0","0.0","0","0.0","59.8","0","61.0","","15","","",NA,"286.8","0.0","1060840"
"FALLS RIVER","53.983","-129.733","BC","",,NA,"",,"",,"0.0","0",NA,"327.7","0",NA,"","23","","",NA,"","","1062790"
"KITIMAT MISSION","53.983","-128.650","BC","",,NA,"",,"",,"0.0","0",NA,"198.5","0",NA,"","15","","",NA,"","","1064290"
"MILL BAY","55.000","-129.750","BC","6.7","0",NA,"15.0","0","-0.6","0","0.0","0",NA,"112.2","0",NA,"","15","","",NA,"339.5","0.0","1065130"
"NAMU","51.867","-127.867","BC","",,NA,"",,"",,"0.0","0",NA,"306.5","0",NA,"","18","","",NA,"","","1065310"
"OCEAN FALLS","52.350","-127.683","BC","7.9","0",NA,"17.8","0","0.0","0","0.0","0",NA,"360.0","0",NA,"","19","","",NA,"301.9","0.0","1065670"
"PREMIER","56.050","-130.017","BC","4.0","0",NA,"12.2","0","-2.8","0","3.8","0",NA,"104.9","0",NA,"","15","","",NA,"421.0","0.0","1066420"
"PRINCE RUPERT","54.283","-130.383","BC","6.9","0",NA,"13.9","0","-0.6","0","0.0","0",NA,"249.3","0",NA,"","18","","",NA,"332.3","0.0","1066480"
"RIVERS INLET","51.667","-127.350","BC","",,NA,"",,"",,"0.0","0",NA,"168.4","0",NA,"","18","","",NA,"","","1066787"
"ROSSWOOD","54.783","-128.767","BC","",,NA,"",,"",,"0.0","0",NA,"22.1","0",NA,"","6","","",NA,"","","1066885"
"ROY","50.500","-125.533","BC","",,NA,"",,"",,"0.0","0",NA,"128.9","0",NA,"","13","","",NA,"","","1066900"
"STEWART","55.950","-129.983","BC","6.8","0",NA,"15.6","0","-3.9","0","0.0","0",NA,"70.3","0",NA,"","13","","",NA,"335.3","0.0","1067740"
"STUIE TWEEDSMUIR LODGE","52.368","-126.067","BC","8.5","0","-0.6","20.6","0","-2.8","0","0.0","0","0.0","28.1","0","73.0","","4","","",NA,"284.4","0.0","1067776"
"SWANSON BAY","53.033","-128.500","BC","",,NA,"",,"",,"0.0","0",NA,"348.6","0",NA,"","22","","",NA,"","","1067880"
"TERRACE","54.517","-128.583","BC","6.4","0",NA,"15.6","0","-4.4","0","0.0","0",NA,"93.9","0",NA,"","10","","",NA,"348.6","0.0","1068100"
"AIYANSH","55.233","-129.017","BC","",,NA,"",,"",,"0.0","0",NA,"31.0","0",NA,"","9","","",NA,"","","1070150"
"MACLURE LAKE","54.733","-127.067","BC","",,NA,"",,"",,"0.0","0",NA,"21.3","0",NA,"","3","","",NA,"","","1074800"
"NEW HAZELTON","55.233","-127.600","BC","5.3","0",NA,"17.8","0","-7.8","0","0.0","0",NA,"25.2","0",NA,"","4","","",NA,"381.1","0.0","1075520"
"SMITHERS CDA","54.733","-127.100","BC","4.7","0",NA,"15.6","0","-6.1","0","0.0","0",NA,"20.0","0",NA,"","3","","",NA,"399.1","0.0","1077505"
"TELKWA","54.650","-126.833","BC","4.4","0",NA,"13.9","0","-6.1","0","1.0","0",NA,"25.9","0",NA,"","5","","",NA,"408.7","0.0","1078070"
"BIG CREEK","51.667","-123.073","BC","3.3","0",NA,"20.6","0","-7.2","0","2.5","0",NA,"2.5","0",NA,"","1","","",NA,"441.8","0.0","1080870"
"BRALORNE","50.783","-122.817","BC","4.7","0",NA,"20.0","0","-5.0","0","0.0","0",NA,"33.3","0",NA,"","7","","",NA,"400.5","0.0","1080930"
"NADINA RIVER","53.983","-126.383","BC","",,NA,"",,"",,"1.6","0",NA,"8.5","0",NA,"","2","","",NA,"","","1085280"
"PEMBERTON MEADOWS","50.450","-122.933","BC","9.3","0",NA,"25.0","0","-1.1","0","0.0","0",NA,"28.7","0",NA,"","6","","",NA,"262.3","0.0","1086090"
"TATLAYOKO LAKE","51.675","-124.405","BC","4.9","0","0.4","17.2","0","-6.7","0","1.8","0","36.0","10.4","0","52.0","","4","","",NA,"392.1","0.0","1088010"
"WISTARIA","53.825","-126.214","BC","3.5","0","0.8","15.0","0","-7.8","0","6.5","0","107.0","12.6","0","75.0","","3","","",NA,"436.0","0.0","1088970"
"BARKERVILLE","53.069","-121.515","BC","0.3","0","-1.1","13.3","0","-20.6","0","22.9","0","70.0","35.7","0","61.0","","9","","",NA,"531.5","0.0","1090660"
"BRIDGE RIVER","50.733","-122.217","BC","",,NA,"",,"",,"0.0","0",NA,"12.2","0",NA,"","4","","",NA,"","","1090990"
"DOME CREEK","53.750","-121.167","BC","6.0","0",NA,"25.6","0","-10.6","0","31.3","0",NA,"51.2","0",NA,"","5","","",NA,"360.4","0.0","1092519"
"FORT ST JAMES","54.450","-124.250","BC","3.3","0","-0.5","16.7","0","-12.2","0","0.0","0","0.0","11.5","0","48.0","","4","","",NA,"440.3","0.0","1092970"
"MCBRIDE 4SE","53.267","-120.150","BC","6.1","0",NA,"25.6","0","-6.7","0","15.1","0",NA,"22.3","0",NA,"","5","","",NA,"355.6","0.0","1094950"
"PRINCE GEORGE","53.833","-122.800","BC","5.8","0",NA,"18.9","0","-11.1","0","4.8","0",NA,"29.9","0",NA,"","6","","",NA,"367.5","0.0","1096436"
"QUESNEL","52.983","-122.483","BC","7.2","0",NA,"22.8","0","-8.3","0","0.0","0",NA,"15.2","0",NA,"","5","","",NA,"322.8","0.0","1096600"
"RED PASS JUNCTION","53.000","-119.000","BC","",,NA,"",,"",,"0.8","0",NA,"3.9","0",NA,"","1","","",NA,"","","1096660"
"VANDERHOOF","54.050","-124.000","BC","5.4","0",NA,"18.9","0","-9.4","0","0.0","0",NA,"2.5","0",NA,"","2","","",NA,"379.0","0.0","1098490"
"WILLIAMS LAKE","52.133","-122.167","BC","7.6","0",NA,"26.7","0","-6.7","0","0.0","0",NA,"5.9","0",NA,"","2","","",NA,"311.9","0.0","1098939"
"WOODPECKER","53.517","-122.650","BC","",,NA,"",,"",,"6.4","0",NA,"32.3","0",NA,"","6","","",NA,"","","1098977"
"ABBOTSFORD UPPER SUMAS","49.050","-122.267","BC","10.8","0",NA,"23.9","0","0.0","0","0.0","0",NA,"77.4","0",NA,"","12","","",NA,"215.3","0.0","1100040"
"AGASSIZ CDA","49.243","-121.760","BC","11.1","0","0.7","23.9","0","0.0","0","0.0","0","0.0","110.3","0","88.0","","14","","",NA,"207.5","0.0","1100120"
"ALOUETTE LAKE","49.283","-122.483","BC","",,NA,"",,"",,"0.0","0",NA,"165.8","0",NA,"","15","","",NA,"","","1100360"
"ALOUETTE POWER HOUSE","49.367","-122.317","BC","9.8","0",NA,"23.3","0","3.3","0","0.0","0",NA,"194.7","0",NA,"","17","","",NA,"244.8","0.0","1100370"
"BUNTZEN LAKE","49.383","-122.867","BC","",,NA,"",,"",,"0.0","0",NA,"183.4","0",NA,"","14","","",NA,"","","1101140"
"BURQUITLAM VANCOUVER GOLF COURSE","49.252","-122.877","BC","",,"","",,"",,"0.0","0",NA,"88.7","0","65.0","","12","","",NA,"","","1101200"
"CHILLIWACK","49.173","-121.924","BC","",,"","",,"",,"0.0","0","0.0","74.4","0","64.0","","9","","",NA,"","","1101530"
"COQUITLAM LAKE","49.367","-122.800","BC","8.6","0",NA,"20.6","0","1.1","0","0.0","0",NA,"194.6","0",NA,"","13","","",NA,"283.3","0.0","1101890"
"CULTUS LAKE","49.083","-121.983","BC","",,NA,"",,"",,"0.0","0",NA,"122.2","0",NA,"","14","","",NA,"","","1102220"
"IOCO REFINERY","49.300","-122.883","BC","",,NA,"",,"",,"0.0","0",NA,"128.9","0",NA,"","13","","",NA,"","","1103660"
"NEW WESTMINSTER","49.217","-122.933","BC","10.5","0",NA,"21.1","0","1.7","0","0.0","0",NA,"89.3","0",NA,"","13","","",NA,"226.0","0.0","1105550"
"SEYMOUR CREEK","49.417","-122.950","BC","",,NA,"",,"",,"0.0","0",NA,"201.5","0",NA,"","13","","",NA,"","","1107195"
