"Environment and Climate Change Canada"
"Monthly Values for July - 1942"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BEAR CREEK","48.500","-124.000","BC","",,NA,"",,"",,"0.0","0",NA,"83.0","0",NA,"","9","","",NA,"","","1010720"
"BEAVER LAKE","48.500","-123.350","BC","",,NA,"",,"",,"0.0","0",NA,"17.2","0",NA,"","3","","",NA,"","","1010774"
"CHEMAINUS","48.935","-123.742","BC","",,NA,"",,"",,"0.0","0",NA,"28.4","0",NA,"","3","","",NA,"","","1011500"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","18.4","0",NA,"30.6","0","10.6","0","0.0","0",NA,"21.3","0",NA,"","7","","",NA,"27.3","40.6","1012010"
"COWICHAN LAKE HATCHERY","48.833","-124.117","BC","",,NA,"35.6","0","",,"0.0","0",NA,"40.4","0",NA,"","7","","",NA,"","","1012046"
"CROFTON","48.817","-123.667","BC","",,NA,"",,"",,"0.0","0",NA,"26.5","0",NA,"","5","","",NA,"","","1012190"
"DUNCAN","48.783","-123.717","BC","19.9","0",NA,"38.9","0","6.1","0","0.0","0",NA,"26.2","0",NA,"","6","","",NA,"14.4","72.4","1012550"
"ESQUIMALT","48.433","-123.417","BC","",,NA,"",,"",,"0.0","0",NA,"22.0","0",NA,"","3","","",NA,"","","1012700"
"GOLDSTREAM LAKE","48.450","-123.550","BC","",,NA,"",,"",,"0.0","0",NA,"29.3","0",NA,"","6","","",NA,"","","1013240"
"JAMES ISLAND","48.600","-123.350","BC","17.5","0",NA,"33.9","0","8.9","0","0.0","0",NA,"19.8","0",NA,"","7","","",NA,"49.3","32.8","1013720"
"MAYNE ISLAND","48.850","-123.333","BC","",,NA,"",,"",,"0.0","0",NA,"10.0","0",NA,"","3","","",NA,"","","1014930"
"MILNES LANDING","48.350","-123.733","BC","16.7","0",NA,"33.3","0","7.8","0","0.0","0",NA,"26.0","0",NA,"","5","","",NA,"61.3","20.1","1015160"
"RIVER JORDAN","48.417","-124.050","BC","",,NA,"",,"",,"0.0","0",NA,"61.5","0",NA,"","8","","",NA,"","","1016780"
"SAANICHTON CDA","48.698","-123.594","BC","17.9","0","0.8","31.7","0","9.4","0","0.0","0",NA,"18.1","0","88.0","","6","","",NA,"34.5","30.0","1016940"
"SALTSPRING ISLAND","48.850","-123.500","BC","18.4","0",NA,"34.4","0","10.0","0","0.0","0",NA,"26.5","0",NA,"","6","","",NA,"29.0","40.4","1016990"
"SAANICH DOM ASTRO OBS","48.517","-123.417","BC","17.8","0",NA,"34.4","0","10.0","0","0.0","0",NA,"19.9","0",NA,"","6","","",NA,"51.0","43.8","10169DK"
"SHAWNIGAN LAKE","48.647","-123.627","BC","17.9","0","0.2","34.4","0","7.8","0","0.0","0",NA,"37.9","0","163.0","","6","","",NA,"38.2","33.6","1017230"
"SOOKE LAKE","48.517","-123.700","BC","",,NA,"",,"",,"0.0","0",NA,"24.8","0",NA,"","5","","",NA,"","","1017560"
"VICTORIA GONZALES HTS","48.417","-123.317","BC","17.3","0",NA,"33.9","0","10.0","0","0.0","0",NA,"17.3","0",NA,"","4","","",NA,"52.1","29.6","1018610"
"VICTORIA INT'L A","48.647","-123.426","BC","17.8","0","0.9","33.9","0","8.9","0","0.0","0",NA,"19.9","0","111.0","","7","","",NA,"35.0","29.1","1018620"
"ALERT BAY","50.583","-126.933","BC","",,NA,"",,"",,"0.0","0",NA,"60.3","0",NA,"","8","","",NA,"","","1020270"
"CAMERON LAKE","49.283","-124.583","BC","",,NA,"",,"",,"0.0","0",NA,"6.3","0",NA,"","3","","",NA,"","","1021230"
"CAMPBELL RIVER","50.017","-125.300","BC","",,NA,"",,"",,"0.0","0",NA,"33.5","0",NA,"","6","","",NA,"","","1021260"
"CAPE LAZO","49.700","-124.867","BC","18.6","0",NA,"31.7","0","10.6","0","0.0","0",NA,"29.7","0",NA,"","5","","",NA,"15.9","35.6","1021320"
"COURTENAY PUNTLEDGE BCHP","49.683","-125.033","BC","",,NA,"",,"",,"0.0","0",NA,"32.0","0",NA,"","6","","",NA,"","","1021990"
"CUMBERLAND","49.617","-125.033","BC","18.1","0",NA,"43.9","0","6.1","0","0.0","0",NA,"40.1","0",NA,"","7","","",NA,"39.7","41.4","1022250"
"DENMAN ISLAND","49.517","-124.783","BC","",,NA,"",,"",,"0.0","0",NA,"29.4","0",NA,"","5","","",NA,"","","1022430"
"NANAIMO","49.183","-123.967","BC","19.0","0",NA,"32.8","0","8.3","0","0.0","0",NA,"34.1","0",NA,"","5","","",NA,"24.1","55.9","1025340"
"PARKSVILLE","49.300","-124.300","BC","",,NA,"",,"",,"0.0","0",NA,"39.1","0",NA,"","5","","",NA,"","","1025970"
"NANAIMO DEPARTURE BAY","49.217","-123.950","BC","19.5","0",NA,"33.9","0","8.9","0","0.0","0",NA,"31.5","0",NA,"","6","","",NA,"21.8","67.2","1025C70"
"PORT HARDY","50.667","-127.483","BC","",,NA,"",,"",,"0.0","0",NA,"49.6","0",NA,"","8","","",NA,"","","1026266"
"SANDWICK","49.750","-125.050","BC","",,NA,"",,"",,"0.0","0",NA,"28.2","0",NA,"","5","","",NA,"","","1027060"
"SAVARY ISLAND","49.933","-124.850","BC","",,NA,"",,"",,"0.0","0",NA,"51.8","0",NA,"","6","","",NA,"","","1027110"
"VANANDA","49.750","-124.583","BC","18.6","0",NA,"28.9","0","10.6","0","0.0","0",NA,"48.7","0",NA,"","6","","",NA,"20.2","38.6","1028340"
"ALBERNI BEAVER CREEK","49.367","-124.933","BC","18.5","0",NA,"37.8","0","5.6","0","0.0","0",NA,"40.1","0",NA,"","8","","",NA,"34.4","50.0","1030180"
"BAMFIELD","48.833","-125.100","BC","",,NA,"",,"",,"0.0","0",NA,"69.9","0",NA,"","7","","",NA,"","","1030600"
"BULL HARBOUR","50.917","-127.950","BC","14.5","0",NA,"20.6","0","8.9","0","0.0","0",NA,"55.8","0",NA,"","7","","",NA,"109.3","0.0","1031110"
"CLAYOQUOT","49.150","-125.900","BC","17.3","0",NA,"30.6","0","10.6","0","0.0","0",NA,"82.1","0",NA,"","8","","",NA,"35.4","12.8","1031650"
"ESTEVAN POINT","49.384","-126.551","BC","15.2","0","0.8","26.7","0","8.9","0","0.0","0",NA,"89.2","0","121.0","","9","","",NA,"88.2","1.5","1032730"
"KILDONAN","49.000","-125.000","BC","",,NA,"",,"",,"0.0","0",NA,"108.9","0",NA,"","10","","",NA,"","","1034170"
"KYUQUOT","50.033","-127.367","BC","",,NA,"",,"",,"0.0","0",NA,"88.9","0",NA,"","10","","",NA,"","","1034440"
"NITINAT LAKE","48.750","-124.750","BC","",,NA,"",,"",,"0.0","0",NA,"110.8","0",NA,"","8","","",NA,"","","1035610"
"PACHENA POINT","48.723","-125.097","BC","14.5","0","0.3","28.3","0","7.2","0","0.0","0",NA,"114.9","0","166.0","","11","","",NA,"115.5","6.8","1035940"
"PORT ALBERNI","49.233","-124.800","BC","19.0","0",NA,"38.9","0","6.7","0","0.0","0",NA,"39.5","0",NA,"","7","","",NA,"25.8","55.5","1036205"
"PORT ALICE","50.386","-127.453","BC","",,"","",,"",,"0.0","0",NA,"34.4","0","58.0","","5","","",NA,"","","1036240"
"QUATSINO","50.533","-127.650","BC","16.5","0","1.2","30.0","0","8.3","0","0.0","0",NA,"36.4","0","71.0","","8","","",NA,"58.7","11.8","1036570"
"TOFINO A","49.081","-125.778","BC","",,"","",,"",,"0.0","0",NA,"72.1","0","102.0","","8","","",NA,"","","1038205"
"UCLUELET","48.967","-125.533","BC","16.6","0",NA,"30.6","0","6.1","0","0.0","0",NA,"105.8","0",NA,"","10","","",NA,"62.2","18.4","1038330"
"ALTA LAKE 2","50.150","-122.983","BC","",,NA,"",,"",,"0.0","0",NA,"48.3","0",NA,"","7","","",NA,"","","1040420"
"BRITANNIA BEACH FURRY CR","49.584","-123.224","BC","20.5","0",NA,"37.8","0","12.2","0","0.0","0",NA,"88.0","0",NA,"","6","","",NA,"14.4","92.0","1041050"
"BUCCANEER BAY","49.483","-123.967","BC","",,NA,"",,"",,"0.0","0",NA,"52.7","0",NA,"","5","","",NA,"","","1041100"
