"Environment and Climate Change Canada"
"Monthly Values for November - 1950"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BEAR CREEK","48.500","-124.000","BC","",,NA,"",,"",,"59.0","0",NA,"368.0","0",NA,"","22","","",NA,"","","1010720"
"BEAVER LAKE","48.500","-123.350","BC","",,NA,"",,"",,"0.0","0",NA,"117.5","0",NA,"","18","","",NA,"","","1010774"
"CHEMAINUS","48.935","-123.742","BC","",,NA,"",,"",,"9.4","0",NA,"129.8","0",NA,"","16","","",NA,"","","1011500"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","4.7","0",NA,"13.3","0","-1.7","0","0.5","0",NA,"129.0","0",NA,"","19","","",NA,"399.2","0.0","1012010"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","3.7","0","-1.7","13.9","0","-3.9","0","39.4","0","357.0","291.0","0","75.0","","19","","",NA,"428.0","0.0","1012040"
"CROFTON","48.817","-123.667","BC","",,NA,"",,"",,"0.0","0",NA,"141.9","0",NA,"","19","","",NA,"","","1012190"
"DUNCAN","48.783","-123.717","BC","4.9","0",NA,"16.7","0","-5.0","0","3.8","0",NA,"146.7","0",NA,"","16","","",NA,"393.0","0.0","1012550"
"GOLDSTREAM LAKE","48.450","-123.550","BC","",,NA,"",,"",,"54.2","0",NA,"233.0","0",NA,"","21","","",NA,"","","1013240"
"JAMES ISLAND","48.600","-123.350","BC","6.2","0",NA,"13.3","0","-1.1","0","0.0","0",NA,"100.0","0",NA,"","20","","",NA,"354.1","0.0","1013720"
"MILNES LANDING","48.350","-123.733","BC","6.3","0",NA,"18.9","0","-2.2","0","1.3","0",NA,"169.3","0",NA,"","20","","",NA,"351.8","0.0","1015160"
