"Environment and Climate Change Canada"
"Monthly Values for December - 1952"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BEAR CREEK","48.500","-124.000","BC","",,NA,"",,"",,"11.4","0",NA,"554.5","0",NA,"","24","","",NA,"","","1010720"
"CHEMAINUS","48.935","-123.742","BC","",,NA,"",,"",,"0.0","0",NA,"241.0","0",NA,"","14","","",NA,"","","1011500"
"CORDOVA BAY","48.533","-123.367","BC","5.5","0",NA,"11.7","0","-0.6","0","0.0","0",NA,"121.1","0",NA,"","14","","",NA,"387.9","0.0","1011920"
"COWICHAN BAY CHERRY POINT","48.711","-123.557","BC","4.4","0",NA,"10.0","0","-2.2","0","0.0","0",NA,"181.8","0",NA,"","20","25.8","0",NA,"423.0","0.0","1012010"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","3.1","0","0.2","11.1","0","-3.9","0","0.5","0","3.0","492.1","0","145.0","","26","10.3","0","26.0","461.2","0.0","1012040"
"CROFTON","48.817","-123.667","BC","",,NA,"",,"",,"0.0","0",NA,"196.0","0",NA,"","19","","",NA,"","","1012190"
"DUNCAN","48.783","-123.717","BC","3.9","0",NA,"11.1","0","-5.6","0","0.0","0",NA,"227.3","0",NA,"","19","","",NA,"437.0","0.0","1012550"
"GOLDSTREAM LAKE","48.450","-123.550","BC","",,NA,"",,"",,"0.0","0",NA,"279.3","0",NA,"","20","","",NA,"","","1013240"
"JAMES ISLAND","48.600","-123.350","BC","5.9","0",NA,"11.1","0","0.6","0","0.0","0",NA,"112.0","0",NA,"","15","","",NA,"376.0","0.0","1013720"
"MILNES LANDING","48.350","-123.733","BC","5.3","0",NA,"12.8","0","-2.2","0","0.0","0",NA,"225.4","0",NA,"","18","","",NA,"395.2","0.0","1015160"
