"Long","Lat","Stn_Name","Clim_ID","Prov_or_Ter","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD"
"-123.742","48.935","CHEMAINUS","1011500","BC","19.4","0","NA","29.0","0","10.5","0","0.0","0","NA","48.0","0","NA","0.0","3","","","NA","4.9","49.1"
"-124.133","48.824","COWICHAN LAKE FORESTRY","1012040","BC","18.1","0","-0.1","32.0","0","7.0","0","0.0","0","NA","79.7","0","177.0","0.0","10","","","NA","22.1","24.4"
"-124.052","48.829","LAKE COWICHAN","1012055","BC","18.7","16","0.7","33.0","11","7.5","11","0.0","10","NA","90.0","10","NA","","7","","","NA","7.9","18.6"
"-123.225","48.424","DISCOVERY ISLAND","1012475","BC","14.6","0","NA","21.6","0","9.9","0","","","NA","","","NA","","","","","NA","105.6","0.0"
"-123.728","48.735","DUNCAN KELVIN CREEK","1012573","BC","18.6","1","0.8","30.0","1","8.5","1","0.0","1","NA","39.2","1","NA","0.0","5","","","NA","11.2","30.2"
"-123.439","48.432","ESQUIMALT HARBOUR","1012710","BC","15.2","0","NA","23.5","0","10.0","0","","","NA","24.4","0","NA","","6","","","NA","87.3","0.7"
"-123.498","48.872","GANGES MANSELL RD","1013051","BC","17.4","4","NA","29.5","4","8.5","4","0.0","4","NA","38.0","4","NA","0.0","7","","","NA","23.9","8.1"
"-123.573","48.985","GALIANO NORTH","10130MN","BC","18.2","9","NA","27.0","9","11.0","9","0.0","9","NA","41.6","9","NA","","5","","","NA","7.6","11.2"
"-123.530","48.575","MALAHAT","1014820","BC","18.4","0","NA","28.5","0","12.2","0","","","NA","","","NA","","","","","NA","20.7","32.9"
"-123.561","48.374","METCHOSIN","1015105","BC","","","NA","","","","","0.0","0","NA","20.6","0","83.0","0.0","6","","","NA","",""
"-123.718","48.824","NORTH COWICHAN","1015628","BC","","","NA","","","","","0.0","16","NA","45.0","16","NA","","4","","","NA","",""
"-123.719","48.824","NORTH COWICHAN","1015630","BC","19.4","0","NA","31.5","0","8.3","0","","","NA","47.8","0","NA","","5","","","NA","5.6","50.2"
"-123.287","48.764","NORTH PENDER ISLAND","1015638","BC","18.0","1","NA","28.0","1","1.0","1","0.0","1","NA","41.8","1","NA","0.0","8","","","NA","18.4","18.9"
"-124.326","48.592","PORT RENFREW","1016335","BC","15.8","0","0.2","26.5","0","6.5","0","0.0","0","NA","145.2","0","176.0","0.0","11","","","NA","68.6","0.0"
"-123.531","48.299","RACE ROCKS CS","1016640","BC","13.9","0","NA","21.0","0","9.1","0","","","NA","","","NA","","","","","NA","128.4","0.0"
"-123.419","48.622","SAANICHTON CDA","1016940","BC","16.9","0","-0.2","26.5","0","9.0","0","0.0","0","NA","32.2","0","122.0","0.0","7","","","NA","36.3","2.7"
